model,condition,record_id,scenario_id,category,ground_truth_class,ground_truth_risk,scenario_source,repetitions,classification_mode,classification_mode_count,classification_agreement_rate,number_of_unique_classifications,classification_entropy,all_repetitions_classification_identical,risk_mode,risk_mode_count,risk_agreement_rate,number_of_unique_risk_levels,risk_entropy,all_repetitions_risk_identical,mean_pairwise_indicator_jaccard,minimum_pairwise_indicator_jaccard,maximum_pairwise_indicator_jaccard,indicator_union_size,indicator_intersection_size,all_repetitions_indicator_sets_identical,mean_pairwise_explanation_similarity,minimum_pairwise_explanation_similarity,json_parse_validity_rate,required_fields_validity_rate,classification_validity_rate,risk_level_validity_rate,indicator_list_validity_rate,strict_schema_validity_rate,first_attempt_strict_schema_success_rate,retry_rate,timeout_rate,empty_response_rate,indicator_vocabulary_compliance_rate,canonical_indicator_count,out_of_vocabulary_indicator_count,mean_out_of_vocabulary_indicators_per_response,unique_out_of_vocabulary_indicators,mean_latency,median_latency,standard_deviation_latency,minimum_latency,maximum_latency,latency_coefficient_of_variation,classification_accuracy_across_repetitions,risk_accuracy_across_repetitions,mean_ground_truth_indicator_precision,mean_ground_truth_indicator_recall,mean_ground_truth_indicator_f1
gpt-oss:20b,baseline,R006,SEC_017,SEC,normal,low,collected,5,normal,5,1.0,1,-0.0,True,low,5,1.0,1,-0.0,True,1.0,1.0,1.0,2,2,True,0.6952,0.2381,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0,2,2,powershell.exe running; python.exe running,10.514,10.354,0.261,10.326,11.007,0.0248,1.0,1.0,0.0,0.0,0.0
gpt-oss:20b,baseline,R011,PROC_005,PROC,abnormal,medium,collected,5,abnormal,5,1.0,1,-0.0,True,medium,4,0.8,2,0.7219,False,0.7,0.25,1.0,4,1,False,0.8588,0.6471,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0,2.8,2.8,defender disabled; firewall disabled; firewall off; risky processes present,12.41,12.308,0.292,12.176,12.982,0.0235,1.0,0.8,0.0,0.0,0.0
gpt-oss:20b,baseline,R018,SEC_005,SEC,abnormal,high,collected,5,abnormal,5,1.0,1,-0.0,True,high,4,0.8,2,0.7219,False,0.6,0.0,1.0,4,0,False,0.6414,0.1034,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.2,1.8,1.8,defender disabled; elevated powershell process; firewall_all_off,10.651,10.471,0.352,10.458,11.355,0.0331,1.0,0.8,0.2,0.1,0.1333
gpt-oss:20b,baseline,R028,AUTH_005,AUTH,abnormal,medium,collected,5,abnormal,5,1.0,1,-0.0,True,medium,5,1.0,1,-0.0,True,0.6,0.0,1.0,4,0,False,0.6774,0.1935,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0,2,2,configuration_changed event id 5007; high number of failed login attempts; multiple failed login attempts (6); no successful authentication recorded,13.779,13.772,0.098,13.65,13.933,0.0071,1.0,1.0,0.0,0.0,0.0
gpt-oss:20b,baseline,R029,USB_007,USB,abnormal,medium,collected,5,normal,5,1.0,1,-0.0,True,low,5,1.0,1,-0.0,True,0.6,0.0,1.0,4,0,False,0.696,0.24,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0,2,2,cmd.exe/powershell.exe/python.exe running; cmd/powershell/python processes running; usb drive with executable visible; usb removable drive containing script/executable visible,16.392,16.444,0.208,15.998,16.612,0.0127,0.0,0.0,0.0,0.0,0.0
gpt-oss:20b,baseline,R046,NET_005,NET,normal,low,collected,5,abnormal,5,1.0,1,-0.0,True,low,4,0.8,2,0.7219,False,1.0,1.0,1.0,2,2,True,0.6414,0.1034,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0,2,2,defender disabled; firewall disabled,13.533,13.911,0.767,12.001,13.974,0.0567,0.0,0.8,0.0,0.0,0.0
gpt-oss:20b,baseline,R050,AUTH_003,AUTH,normal,low,collected,5,normal,5,1.0,1,-0.0,True,low,5,1.0,1,-0.0,True,0.7333,0.3333,1.0,3,1,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0,2,2,developer_tools_usage; developer_tools_used; multiple_failed_logins,12.642,12.523,0.268,12.47,13.175,0.0212,1.0,1.0,0.0,0.0,0.0
gpt-oss:20b,baseline,R051,SEC_010,SEC,abnormal,high,collected,5,abnormal,5,1.0,1,-0.0,True,medium,5,1.0,1,-0.0,True,0.6,0.0,1.0,4,0,False,0.7067,0.2667,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0,2,2,defender realtime protection disabled; defender realtime protection temporarily disabled; powershell.exe and windowsterminal.exe flagged as risky; risky processes powershell.exe and windowsterminal.exe running,13.257,13.278,0.099,13.081,13.368,0.0074,1.0,0.0,0.0,0.0,0.0
gpt-oss:20b,baseline,R060,NET_012,NET,abnormal,high,augmented,5,abnormal,5,1.0,1,-0.0,True,high,5,1.0,1,-0.0,True,1.0,1.0,1.0,2,2,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0,2,2,defender and firewall disabled; nmap.exe detected,11.49,11.393,0.21,11.307,11.896,0.0183,1.0,1.0,0.0,0.0,0.0
gpt-oss:20b,baseline,R067,AUTH_009,AUTH,abnormal,high,collected,5,normal,5,1.0,1,-0.0,True,low,5,1.0,1,-0.0,True,1.0,1.0,1.0,2,2,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0,2,2,"multiple failed login attempts; risky processes observed (powershell.exe, windowsterminal.exe)",13.52,13.286,0.487,13.214,14.489,0.036,0.0,0.0,0.0,0.0,0.0
