model,scenario_id,category,ground_truth_class,baseline_output_category,baseline_predicted_class,rag_output_category,rag_predicted_class,change,rag_retrieved_doc_ids
llama3,AUTH_001,AUTH,normal,valid_correct,normal,valid_incorrect,abnormal,RAG broke,AUTH_002; NORMAL_003; AUTH_004
llama3,NET_006,NET,abnormal,valid_correct,abnormal,valid_correct,abnormal,same,SEC_003; AUTH_005; NET_002
llama3,NET_007,NET,abnormal,valid_correct,abnormal,valid_correct,abnormal,same,AUTH_002; AUTH_005; NET_002
llama3,NET_008,NET,abnormal,valid_correct,abnormal,valid_correct,abnormal,same,AUTH_005; NET_002; NORMAL_003
llama3,NET_009,NET,abnormal,valid_correct,abnormal,valid_incorrect,normal,RAG broke,PROC_001; NET_004; NET_001
llama3,NET_010,NET,abnormal,valid_correct,abnormal,valid_correct,abnormal,same,NET_004; PROC_001; NET_001
llama3,NET_011,NET,abnormal,valid_correct,abnormal,valid_correct,abnormal,same,NORMAL_003; SEC_003; NET_001
llama3,NET_012,NET,abnormal,valid_correct,abnormal,valid_correct,abnormal,same,AUTH_005; NET_002; SEC_003
llama3,NET_013,NET,abnormal,valid_correct,abnormal,valid_correct,abnormal,same,AUTH_005; SEC_003; NET_002
llama3,NET_014,NET,abnormal,valid_correct,abnormal,valid_correct,abnormal,same,AUTH_005; AUTH_002; NET_002
llama3,NET_015,NET,normal,valid_incorrect,abnormal,valid_incorrect,abnormal,same,NET_001; NORMAL_003; NORMAL_001
llama3,NET_016,NET,normal,valid_correct,normal,valid_correct,normal,same,NET_003; NET_001; NORMAL_003
llama3,NET_017,NET,normal,valid_correct,normal,valid_correct,normal,same,NET_001; NORMAL_003; NET_002
llama3,NORMAL_001,NORMAL,normal,valid_correct,normal,valid_correct,normal,same,NORMAL_003; NET_001; NET_002
llama3,NORMAL_002,NORMAL,normal,valid_correct,normal,valid_correct,normal,same,NET_001; NORMAL_003; PROC_001
llama3,NORMAL_003,NORMAL,normal,valid_correct,normal,valid_correct,normal,same,NET_001; NORMAL_003; NET_002
llama3,NORMAL_004,NORMAL,normal,valid_correct,normal,valid_incorrect,abnormal,RAG broke,SEC_003; SEC_004; PROC_005
llama3,NORMAL_005,NORMAL,normal,valid_correct,normal,valid_correct,normal,same,NET_001; NORMAL_003; NET_002
llama3,NORMAL_006,NORMAL,normal,valid_correct,normal,valid_correct,normal,same,NET_001; NORMAL_003; NET_002
llama3,NORMAL_007,NORMAL,normal,valid_correct,normal,valid_correct,normal,same,NET_001; NORMAL_003; NET_002
llama3,NORMAL_008,NORMAL,normal,valid_incorrect,abnormal,valid_correct,normal,RAG fixed,NET_001; NORMAL_003; NET_002
llama3,NORMAL_009,NORMAL,normal,valid_correct,normal,valid_correct,normal,same,NET_001; NORMAL_003; NET_002
llama3,NORMAL_010,NORMAL,normal,valid_correct,normal,valid_correct,normal,same,NET_001; NORMAL_003; NET_002
llama3,NORMAL_011,NORMAL,normal,valid_correct,normal,valid_correct,normal,same,NET_001; NORMAL_003; NET_002
llama3,NORMAL_012,NORMAL,normal,valid_incorrect,abnormal,valid_correct,normal,RAG fixed,NET_001; NORMAL_003; NET_002
llama3,NORMAL_013,NORMAL,normal,valid_correct,normal,valid_correct,normal,same,NET_001; NORMAL_003; NET_002
llama3,NORMAL_014,NORMAL,normal,valid_correct,normal,valid_incorrect,abnormal,RAG broke,SEC_003; SEC_004; AUTH_005
llama3,NORMAL_015,NORMAL,normal,valid_correct,normal,valid_correct,normal,same,NORMAL_003; NET_001; NET_002
llama3,NORMAL_016,NORMAL,normal,valid_correct,normal,valid_correct,normal,same,NET_001; NORMAL_003; PROC_001
llama3,NORMAL_017,NORMAL,normal,valid_correct,normal,valid_correct,normal,same,NET_001; NORMAL_003; PROC_001
llama3,NORMAL_018,NORMAL,normal,valid_incorrect,abnormal,valid_incorrect,abnormal,same,NET_001; NORMAL_003; PROC_001
llama3,PERSIST_001,PERSIST,normal,valid_correct,normal,valid_correct,normal,same,NET_001; NORMAL_003; PERSIST_001
llama3,PERSIST_002,PERSIST,normal,valid_correct,normal,valid_correct,normal,same,NET_001; NORMAL_003; PERSIST_001
llama3,PERSIST_003,PERSIST,normal,valid_incorrect,abnormal,valid_correct,normal,RAG fixed,NET_001; NORMAL_003; NET_002
llama3,PERSIST_004,PERSIST,normal,valid_correct,normal,valid_correct,normal,same,PERSIST_004; NET_001; NORMAL_004
llama3,PERSIST_005,PERSIST,abnormal,valid_correct,abnormal,valid_correct,abnormal,same,PERSIST_002; SEC_003; PERSIST_003
llama3,PERSIST_006,PERSIST,abnormal,valid_correct,abnormal,valid_correct,abnormal,same,SEC_003; PERSIST_002; PERSIST_003
llama3,PERSIST_007,PERSIST,abnormal,valid_correct,abnormal,valid_incorrect,normal,RAG broke,PERSIST_003; NET_001; NORMAL_003
llama3,PERSIST_008,PERSIST,abnormal,valid_correct,abnormal,valid_correct,abnormal,same,PERSIST_004; NET_001; NORMAL_003
llama3,PERSIST_009,PERSIST,normal,valid_incorrect,abnormal,valid_correct,normal,RAG fixed,PERSIST_004; NORMAL_004; NET_001
llama3,PERSIST_010,PERSIST,abnormal,valid_correct,abnormal,valid_correct,abnormal,same,SEC_003; PERSIST_005; SEC_004
llama3,PERSIST_011,PERSIST,abnormal,valid_correct,abnormal,valid_correct,abnormal,same,PERSIST_002; SEC_003; SEC_004
llama3,PERSIST_012,PERSIST,abnormal,valid_correct,abnormal,valid_correct,abnormal,same,SEC_003; PERSIST_002; SEC_004
llama3,PERSIST_013,PERSIST,abnormal,valid_correct,abnormal,valid_correct,abnormal,same,PERSIST_004; SEC_003; PERSIST_005
llama3,PERSIST_014,PERSIST,abnormal,valid_correct,abnormal,valid_correct,abnormal,same,PERSIST_005; NORMAL_003; SEC_003
llama3,PERSIST_015,PERSIST,normal,valid_correct,normal,valid_correct,normal,same,NET_001; NORMAL_003; NET_002
llama3,PERSIST_016,PERSIST,normal,valid_correct,normal,valid_correct,normal,same,NET_001; NORMAL_003; NET_002
llama3,PERSIST_017,PERSIST,normal,valid_correct,normal,valid_correct,normal,same,NET_001; NORMAL_003; NET_002
llama3,PROC_001,PROC,normal,valid_incorrect,abnormal,valid_correct,normal,RAG fixed,NET_001; NORMAL_003; PROC_001
llama3,PROC_002,PROC,normal,valid_incorrect,abnormal,valid_correct,normal,RAG fixed,NET_001; NORMAL_003; PROC_001
llama3,PROC_003,PROC,normal,valid_incorrect,abnormal,valid_correct,normal,RAG fixed,NET_001; NORMAL_003; PROC_001
llama3,PROC_004,PROC,normal,valid_correct,normal,valid_correct,normal,same,NET_001; NORMAL_003; PROC_001
llama3,PROC_005,PROC,abnormal,valid_correct,abnormal,valid_correct,abnormal,same,PROC_001; SEC_003; PROC_005
llama3,PROC_006,PROC,abnormal,valid_correct,abnormal,valid_correct,abnormal,same,SEC_003; PROC_001; PROC_005
llama3,PROC_007,PROC,abnormal,valid_correct,abnormal,valid_correct,abnormal,same,PROC_003; PROC_001; NET_001
llama3,PROC_008,PROC,abnormal,valid_correct,abnormal,valid_correct,abnormal,same,PROC_001; NET_001; NORMAL_003
llama3,PROC_009,PROC,abnormal,valid_correct,abnormal,valid_correct,abnormal,same,PROC_001; NET_004; NET_001
llama3,PROC_010,PROC,abnormal,valid_correct,abnormal,valid_correct,abnormal,same,PROC_001; NET_001; NORMAL_003
llama3,PROC_011,PROC,abnormal,valid_correct,abnormal,valid_correct,abnormal,same,NORMAL_003; SEC_003; NET_001
llama3,PROC_012,PROC,abnormal,valid_correct,abnormal,valid_correct,abnormal,same,NORMAL_003; SEC_003; NET_001
llama3,PROC_013,PROC,abnormal,valid_correct,abnormal,valid_correct,abnormal,same,SEC_003; AUTH_005; PROC_005
llama3,PROC_014,PROC,abnormal,valid_correct,abnormal,valid_correct,abnormal,same,AUTH_005; AUTH_002; SEC_003
llama3,PROC_015,PROC,normal,valid_incorrect,abnormal,valid_correct,normal,RAG fixed,NET_001; NORMAL_003; PROC_001
llama3,PROC_016,PROC,normal,valid_incorrect,abnormal,valid_correct,normal,RAG fixed,NET_001; NORMAL_003; PROC_001
llama3,PROC_017,PROC,normal,valid_correct,normal,valid_correct,normal,same,NET_001; NORMAL_003; NET_002
llama3,SEC_001,SEC,normal,valid_correct,normal,valid_incorrect,abnormal,RAG broke,SEC_003; SEC_004; PROC_005
llama3,SEC_002,SEC,normal,valid_correct,normal,valid_correct,normal,same,NORMAL_003; NET_001; PROC_001
llama3,SEC_003,SEC,normal,valid_correct,normal,valid_correct,normal,same,NET_001; NORMAL_003; PROC_001
llama3,SEC_004,SEC,normal,valid_correct,normal,valid_correct,normal,same,NET_001; NORMAL_003; NET_002
llama3,SEC_005,SEC,abnormal,valid_correct,abnormal,valid_correct,abnormal,same,SEC_003; PROC_005; AUTH_005
llama3,SEC_006,SEC,abnormal,valid_incorrect,normal,valid_correct,abnormal,RAG fixed,SEC_003; SEC_002; SEC_004
llama3,SEC_007,SEC,abnormal,valid_correct,abnormal,valid_correct,abnormal,same,SEC_003; AUTH_005; NORMAL_003
llama3,SEC_008,SEC,abnormal,valid_correct,abnormal,valid_correct,abnormal,same,SEC_003; AUTH_005; NORMAL_003
llama3,SEC_009,SEC,abnormal,valid_incorrect,normal,valid_correct,abnormal,RAG fixed,SEC_003; AUTH_005; NORMAL_003
llama3,SEC_010,SEC,abnormal,valid_correct,abnormal,valid_correct,abnormal,same,SEC_003; PROC_005; USB_005
llama3,SEC_011,SEC,abnormal,valid_correct,abnormal,valid_correct,abnormal,same,SEC_003; PERSIST_005; SEC_004
llama3,SEC_012,SEC,abnormal,valid_correct,abnormal,valid_correct,abnormal,same,SEC_003; USB_005; AUTH_005
llama3,SEC_013,SEC,abnormal,valid_correct,abnormal,valid_correct,abnormal,same,SEC_003; PROC_005; NORMAL_001
llama3,SEC_014,SEC,abnormal,valid_correct,abnormal,valid_correct,abnormal,same,SEC_003; PERSIST_005; SEC_004
llama3,SEC_015,SEC,normal,valid_correct,normal,valid_correct,normal,same,NET_001; NORMAL_003; SEC_001
llama3,SEC_016,SEC,normal,valid_correct,normal,valid_correct,normal,same,NET_001; NORMAL_003; PROC_001
llama3,SEC_017,SEC,normal,valid_incorrect,abnormal,valid_correct,normal,RAG fixed,NET_001; NORMAL_003; NET_002
llama3,USB_001,USB,normal,valid_correct,normal,valid_correct,normal,same,NET_001; NORMAL_003; USB_001
llama3,USB_002,USB,normal,valid_incorrect,abnormal,valid_incorrect,abnormal,same,NET_001; NORMAL_003; USB_002
llama3,USB_003,USB,normal,valid_incorrect,abnormal,valid_incorrect,abnormal,same,NET_001; NORMAL_003; USB_002
llama3,USB_004,USB,normal,valid_correct,normal,valid_correct,normal,same,NET_001; NORMAL_003; PROC_001
llama3,USB_005,USB,abnormal,valid_correct,abnormal,valid_correct,abnormal,same,SEC_003; USB_005; SEC_004
llama3,USB_006,USB,abnormal,valid_incorrect,normal,valid_correct,abnormal,RAG fixed,SEC_003; USB_002; SEC_004
llama3,USB_007,USB,abnormal,valid_incorrect,normal,valid_correct,abnormal,RAG fixed,NET_001; NORMAL_003; USB_004
llama3,USB_008,USB,abnormal,valid_correct,abnormal,valid_correct,abnormal,same,NET_001; NORMAL_003; PROC_001
llama3,USB_009,USB,abnormal,valid_correct,abnormal,valid_correct,abnormal,same,NET_001; NORMAL_003; USB_001
llama3,USB_010,USB,abnormal,valid_incorrect,normal,valid_correct,abnormal,RAG fixed,AUTH_002; NORMAL_003; AUTH_004
llama3,USB_011,USB,abnormal,valid_correct,abnormal,valid_correct,abnormal,same,SEC_003; USB_005; NORMAL_001
llama3,USB_012,USB,abnormal,valid_correct,abnormal,valid_correct,abnormal,same,SEC_003; USB_005; AUTH_005
llama3,USB_013,USB,abnormal,valid_correct,abnormal,valid_correct,abnormal,same,SEC_003; USB_002; USB_003
llama3,USB_014,USB,abnormal,valid_correct,abnormal,valid_correct,abnormal,same,PROC_001; SEC_003; USB_005
llama3,USB_015,USB,normal,valid_correct,normal,valid_correct,normal,same,NET_001; NORMAL_003; USB_001
llama3,USB_016,USB,normal,valid_incorrect,abnormal,valid_incorrect,abnormal,same,NET_001; NORMAL_003; USB_002
llama3,USB_017,USB,normal,valid_correct,normal,valid_correct,normal,same,NET_001; NORMAL_003; PROC_001
deepseek-r1_8b,AUTH_001,AUTH,normal,valid_incorrect,abnormal,invalid,(none),same,AUTH_002; NORMAL_003; AUTH_004
deepseek-r1_8b,AUTH_002,AUTH,normal,valid_incorrect,abnormal,valid_incorrect,abnormal,same,AUTH_003; NORMAL_003; AUTH_004
deepseek-r1_8b,AUTH_003,AUTH,normal,valid_incorrect,abnormal,valid_incorrect,abnormal,same,AUTH_003; NORMAL_003; AUTH_004
deepseek-r1_8b,AUTH_004,AUTH,normal,valid_incorrect,abnormal,invalid,(none),same,SEC_003; AUTH_005; AUTH_002
deepseek-r1_8b,AUTH_005,AUTH,abnormal,valid_correct,abnormal,valid_correct,abnormal,same,AUTH_004; NORMAL_003; AUTH_003
deepseek-r1_8b,AUTH_006,AUTH,abnormal,valid_correct,abnormal,valid_correct,abnormal,same,AUTH_004; NORMAL_003; AUTH_003
deepseek-r1_8b,AUTH_007,AUTH,abnormal,valid_correct,abnormal,valid_correct,abnormal,same,AUTH_003; NORMAL_003; AUTH_004
deepseek-r1_8b,AUTH_008,AUTH,abnormal,valid_correct,abnormal,valid_correct,abnormal,same,AUTH_003; NORMAL_003; AUTH_004
deepseek-r1_8b,AUTH_009,AUTH,abnormal,valid_correct,abnormal,valid_correct,abnormal,same,AUTH_003; NORMAL_003; NORMAL_001
deepseek-r1_8b,AUTH_010,AUTH,abnormal,valid_correct,abnormal,valid_correct,abnormal,same,AUTH_003; NORMAL_003; NET_001
deepseek-r1_8b,AUTH_011,AUTH,abnormal,valid_correct,abnormal,invalid,(none),RAG broke,AUTH_005; NET_002; NORMAL_003
deepseek-r1_8b,AUTH_012,AUTH,abnormal,valid_correct,abnormal,invalid,(none),RAG broke,NORMAL_003; NET_001; AUTH_004
deepseek-r1_8b,AUTH_013,AUTH,abnormal,valid_correct,abnormal,valid_incorrect,normal,RAG broke,AUTH_002; NORMAL_003; AUTH_004
deepseek-r1_8b,AUTH_014,AUTH,abnormal,valid_correct,abnormal,invalid,(none),RAG broke,SEC_003; AUTH_005; AUTH_002
deepseek-r1_8b,AUTH_015,AUTH,normal,valid_correct,normal,valid_correct,normal,same,NET_001; NORMAL_003; PROC_001
deepseek-r1_8b,AUTH_016,AUTH,normal,valid_correct,normal,valid_correct,normal,same,NET_001; NORMAL_003; NET_002
deepseek-r1_8b,AUTH_017,AUTH,normal,valid_correct,normal,valid_correct,normal,same,NET_001; NORMAL_003; PROC_001
deepseek-r1_8b,NET_001,NET,normal,valid_correct,normal,valid_correct,normal,same,NET_001; NORMAL_003; NET_002
deepseek-r1_8b,NET_002,NET,normal,valid_correct,normal,valid_correct,normal,same,NET_001; NORMAL_003; NET_002
deepseek-r1_8b,NET_003,NET,normal,valid_correct,normal,valid_correct,normal,same,NET_001; NORMAL_003; NET_002
deepseek-r1_8b,NET_004,NET,normal,valid_correct,normal,valid_correct,normal,same,NET_001; NORMAL_003; NET_002
deepseek-r1_8b,NET_005,NET,normal,valid_incorrect,abnormal,invalid,(none),same,AUTH_005; NET_002; SEC_003
deepseek-r1_8b,NET_006,NET,abnormal,valid_incorrect,normal,invalid,(none),same,SEC_003; AUTH_005; NET_002
deepseek-r1_8b,NET_007,NET,abnormal,valid_correct,abnormal,valid_incorrect,normal,RAG broke,AUTH_002; AUTH_005; NET_002
deepseek-r1_8b,NET_008,NET,abnormal,valid_correct,abnormal,valid_correct,abnormal,same,AUTH_005; NET_002; NORMAL_003
deepseek-r1_8b,NET_009,NET,abnormal,valid_incorrect,normal,valid_correct,abnormal,RAG fixed,PROC_001; NET_004; NET_001
deepseek-r1_8b,NET_010,NET,abnormal,valid_correct,abnormal,valid_correct,abnormal,same,NET_004; PROC_001; NET_001
deepseek-r1_8b,NET_011,NET,abnormal,valid_correct,abnormal,invalid,(none),RAG broke,NORMAL_003; SEC_003; NET_001
deepseek-r1_8b,NET_012,NET,abnormal,valid_correct,abnormal,invalid,(none),RAG broke,AUTH_005; NET_002; SEC_003
deepseek-r1_8b,NET_013,NET,abnormal,valid_correct,abnormal,valid_correct,abnormal,same,AUTH_005; SEC_003; NET_002
deepseek-r1_8b,NET_014,NET,abnormal,valid_correct,abnormal,invalid,(none),RAG broke,AUTH_005; AUTH_002; NET_002
deepseek-r1_8b,NET_015,NET,normal,valid_incorrect,abnormal,invalid,(none),same,NET_001; NORMAL_003; NORMAL_001
deepseek-r1_8b,NET_016,NET,normal,valid_correct,normal,valid_correct,normal,same,NET_003; NET_001; NORMAL_003
deepseek-r1_8b,NET_017,NET,normal,valid_correct,normal,valid_correct,normal,same,NET_001; NORMAL_003; NET_002
deepseek-r1_8b,NORMAL_001,NORMAL,normal,valid_correct,normal,valid_correct,normal,same,NORMAL_003; NET_001; NET_002
deepseek-r1_8b,NORMAL_002,NORMAL,normal,valid_correct,normal,valid_correct,normal,same,NET_001; NORMAL_003; PROC_001
deepseek-r1_8b,NORMAL_003,NORMAL,normal,valid_correct,normal,valid_correct,normal,same,NET_001; NORMAL_003; NET_002
deepseek-r1_8b,NORMAL_004,NORMAL,normal,valid_incorrect,abnormal,invalid,(none),same,SEC_003; SEC_004; PROC_005
deepseek-r1_8b,NORMAL_005,NORMAL,normal,valid_correct,normal,valid_correct,normal,same,NET_001; NORMAL_003; NET_002
deepseek-r1_8b,NORMAL_006,NORMAL,normal,valid_correct,normal,valid_correct,normal,same,NET_001; NORMAL_003; NET_002
deepseek-r1_8b,NORMAL_007,NORMAL,normal,valid_correct,normal,valid_correct,normal,same,NET_001; NORMAL_003; NET_002
deepseek-r1_8b,NORMAL_008,NORMAL,normal,valid_correct,normal,valid_correct,normal,same,NET_001; NORMAL_003; NET_002
deepseek-r1_8b,NORMAL_009,NORMAL,normal,valid_correct,normal,valid_correct,normal,same,NET_001; NORMAL_003; NET_002
deepseek-r1_8b,NORMAL_010,NORMAL,normal,valid_correct,normal,valid_correct,normal,same,NET_001; NORMAL_003; NET_002
deepseek-r1_8b,NORMAL_011,NORMAL,normal,valid_correct,normal,valid_correct,normal,same,NET_001; NORMAL_003; NET_002
deepseek-r1_8b,NORMAL_012,NORMAL,normal,valid_correct,normal,valid_correct,normal,same,NET_001; NORMAL_003; NET_002
deepseek-r1_8b,NORMAL_013,NORMAL,normal,valid_correct,normal,valid_correct,normal,same,NET_001; NORMAL_003; NET_002
deepseek-r1_8b,NORMAL_014,NORMAL,normal,valid_incorrect,abnormal,invalid,(none),same,SEC_003; SEC_004; AUTH_005
deepseek-r1_8b,NORMAL_015,NORMAL,normal,valid_correct,normal,valid_correct,normal,same,NORMAL_003; NET_001; NET_002
deepseek-r1_8b,NORMAL_016,NORMAL,normal,valid_correct,normal,valid_correct,normal,same,NET_001; NORMAL_003; PROC_001
deepseek-r1_8b,NORMAL_017,NORMAL,normal,valid_correct,normal,valid_correct,normal,same,NET_001; NORMAL_003; PROC_001
deepseek-r1_8b,NORMAL_018,NORMAL,normal,valid_incorrect,abnormal,invalid,(none),same,NET_001; NORMAL_003; PROC_001
deepseek-r1_8b,PERSIST_001,PERSIST,normal,valid_correct,normal,valid_correct,normal,same,NET_001; NORMAL_003; PERSIST_001
deepseek-r1_8b,PERSIST_002,PERSIST,normal,valid_correct,normal,valid_correct,normal,same,NET_001; NORMAL_003; PERSIST_001
deepseek-r1_8b,PERSIST_003,PERSIST,normal,valid_correct,normal,valid_correct,normal,same,NET_001; NORMAL_003; NET_002
deepseek-r1_8b,PERSIST_004,PERSIST,normal,valid_correct,normal,invalid,(none),RAG broke,PERSIST_004; NET_001; NORMAL_004
deepseek-r1_8b,PERSIST_005,PERSIST,abnormal,valid_correct,abnormal,valid_correct,abnormal,same,PERSIST_002; SEC_003; PERSIST_003
deepseek-r1_8b,PERSIST_006,PERSIST,abnormal,valid_correct,abnormal,invalid,(none),RAG broke,SEC_003; PERSIST_002; PERSIST_003
deepseek-r1_8b,PERSIST_007,PERSIST,abnormal,valid_incorrect,normal,invalid,(none),same,PERSIST_003; NET_001; NORMAL_003
deepseek-r1_8b,PERSIST_008,PERSIST,abnormal,valid_incorrect,normal,valid_incorrect,normal,same,PERSIST_004; NET_001; NORMAL_003
deepseek-r1_8b,PERSIST_009,PERSIST,normal,valid_correct,normal,valid_correct,normal,same,PERSIST_004; NORMAL_004; NET_001
deepseek-r1_8b,PERSIST_010,PERSIST,abnormal,valid_correct,abnormal,valid_correct,abnormal,same,SEC_003; PERSIST_005; SEC_004
deepseek-r1_8b,PERSIST_011,PERSIST,abnormal,valid_correct,abnormal,invalid,(none),RAG broke,PERSIST_002; SEC_003; SEC_004
deepseek-r1_8b,PERSIST_012,PERSIST,abnormal,valid_correct,abnormal,valid_correct,abnormal,same,SEC_003; PERSIST_002; SEC_004
deepseek-r1_8b,PERSIST_013,PERSIST,abnormal,valid_correct,abnormal,valid_correct,abnormal,same,PERSIST_004; SEC_003; PERSIST_005
deepseek-r1_8b,PERSIST_014,PERSIST,abnormal,valid_correct,abnormal,invalid,(none),RAG broke,PERSIST_005; NORMAL_003; SEC_003
deepseek-r1_8b,PERSIST_015,PERSIST,normal,valid_correct,normal,valid_correct,normal,same,NET_001; NORMAL_003; NET_002
deepseek-r1_8b,PERSIST_016,PERSIST,normal,valid_correct,normal,valid_correct,normal,same,NET_001; NORMAL_003; NET_002
deepseek-r1_8b,PERSIST_017,PERSIST,normal,valid_correct,normal,valid_correct,normal,same,NET_001; NORMAL_003; NET_002
deepseek-r1_8b,PROC_001,PROC,normal,valid_correct,normal,valid_correct,normal,same,NET_001; NORMAL_003; PROC_001
deepseek-r1_8b,PROC_002,PROC,normal,valid_correct,normal,valid_correct,normal,same,NET_001; NORMAL_003; PROC_001
deepseek-r1_8b,PROC_003,PROC,normal,valid_correct,normal,valid_correct,normal,same,NET_001; NORMAL_003; PROC_001
deepseek-r1_8b,PROC_004,PROC,normal,valid_correct,normal,valid_correct,normal,same,NET_001; NORMAL_003; PROC_001
deepseek-r1_8b,PROC_005,PROC,abnormal,valid_correct,abnormal,valid_correct,abnormal,same,PROC_001; SEC_003; PROC_005
deepseek-r1_8b,PROC_006,PROC,abnormal,valid_correct,abnormal,invalid,(none),RAG broke,SEC_003; PROC_001; PROC_005
deepseek-r1_8b,PROC_007,PROC,abnormal,valid_correct,abnormal,valid_correct,abnormal,same,PROC_003; PROC_001; NET_001
deepseek-r1_8b,PROC_008,PROC,abnormal,valid_correct,abnormal,valid_correct,abnormal,same,PROC_001; NET_001; NORMAL_003
deepseek-r1_8b,PROC_009,PROC,abnormal,valid_correct,abnormal,valid_correct,abnormal,same,PROC_001; NET_004; NET_001
deepseek-r1_8b,PROC_010,PROC,abnormal,valid_correct,abnormal,valid_correct,abnormal,same,PROC_001; NET_001; NORMAL_003
deepseek-r1_8b,PROC_011,PROC,abnormal,valid_correct,abnormal,invalid,(none),RAG broke,NORMAL_003; SEC_003; NET_001
deepseek-r1_8b,PROC_012,PROC,abnormal,valid_correct,abnormal,invalid,(none),RAG broke,NORMAL_003; SEC_003; NET_001
deepseek-r1_8b,PROC_013,PROC,abnormal,valid_correct,abnormal,valid_correct,abnormal,same,SEC_003; AUTH_005; PROC_005
deepseek-r1_8b,PROC_014,PROC,abnormal,valid_correct,abnormal,invalid,(none),RAG broke,AUTH_005; AUTH_002; SEC_003
deepseek-r1_8b,PROC_015,PROC,normal,valid_correct,normal,valid_correct,normal,same,NET_001; NORMAL_003; PROC_001
deepseek-r1_8b,PROC_016,PROC,normal,invalid,(none),invalid,(none),same,NET_001; NORMAL_003; PROC_001
deepseek-r1_8b,PROC_017,PROC,normal,valid_correct,normal,valid_correct,normal,same,NET_001; NORMAL_003; NET_002
deepseek-r1_8b,SEC_001,SEC,normal,valid_incorrect,abnormal,invalid,(none),same,SEC_003; SEC_004; PROC_005
deepseek-r1_8b,SEC_002,SEC,normal,valid_correct,normal,valid_correct,normal,same,NORMAL_003; NET_001; PROC_001
deepseek-r1_8b,SEC_003,SEC,normal,valid_correct,normal,valid_correct,normal,same,NET_001; NORMAL_003; PROC_001
deepseek-r1_8b,SEC_004,SEC,normal,valid_correct,normal,valid_correct,normal,same,NET_001; NORMAL_003; NET_002
deepseek-r1_8b,SEC_005,SEC,abnormal,valid_correct,abnormal,valid_correct,abnormal,same,SEC_003; PROC_005; AUTH_005
deepseek-r1_8b,SEC_006,SEC,abnormal,valid_correct,abnormal,invalid,(none),RAG broke,SEC_003; SEC_002; SEC_004
deepseek-r1_8b,SEC_007,SEC,abnormal,valid_correct,abnormal,valid_correct,abnormal,same,SEC_003; AUTH_005; NORMAL_003
