model,condition,scenario_id,indicator_vocabulary_compliance_rate,canonical_indicator_count,out_of_vocabulary_indicator_count,unique_out_of_vocabulary_indicators
gpt-oss:20b,baseline,AUTH_005,0.0,0,2,configuration_changed event id 5007; high number of failed login attempts; multiple failed login attempts (6); no successful authentication recorded
gpt-oss:20b,baseline,USB_007,0.0,0,2,cmd.exe/powershell.exe/python.exe running; cmd/powershell/python processes running; usb drive with executable visible; usb removable drive containing script/executable visible
gpt-oss:20b,baseline,NET_005,0.0,0,2,defender disabled; firewall disabled
gpt-oss:20b,baseline,AUTH_003,0.0,0,2,developer_tools_usage; developer_tools_used; multiple_failed_logins
gpt-oss:20b,baseline,SEC_010,0.0,0,2,defender realtime protection disabled; defender realtime protection temporarily disabled; powershell.exe and windowsterminal.exe flagged as risky; risky processes powershell.exe and windowsterminal.exe running
gpt-oss:20b,baseline,NET_012,0.0,0,2,defender and firewall disabled; nmap.exe detected
gpt-oss:20b,baseline,AUTH_009,0.0,0,2,"multiple failed login attempts; risky processes observed (powershell.exe, windowsterminal.exe)"
gpt-oss:20b,baseline,USB_017,0.0,0,2,powershell.exe running; usb device connected
gpt-oss:20b,baseline,PROC_016,0.0,0,2,cmd.exe executed via ollama app; cmd.exe launched via ollama app; windows terminal (windowsterminal.exe) running; windowsterminal.exe launched from windowsapps
gpt-oss:20b,baseline,PERSIST_006,0.0,0,2.2,defender disabled; firewall disabled; firewall off; scheduled_task_changed
gpt-oss:20b,baseline,PROC_006,0.0,0,2.2,"defender disabled; firewall disabled; firewall off; risky processes cmd.exe, windowsterminal.exe"
gpt-oss:20b,baseline,PERSIST_017,0.0,0,2,powershell.exe execution; powershell_exe_running; python.exe running; python_exe_running
gpt-oss:20b,baseline,PERSIST_014,0.0,0,2.2,defender disabled; powershell.exe; powershell.exe running; service change activity documented; service_change
gpt-oss:20b,baseline,NORMAL_016,0.0,0,2,defender and firewall enabled; no elevated or risky processes; no suspicious processes or downloads
gpt-oss:20b,baseline,NORMAL_006,0.0,0,2,cmd.exe running; powershell.exe running
llama3,baseline,NORMAL_008,0.0,0,2,"opening of code.exe; running of cmd.exe, powershell.exe, and python.exe"
llama3,baseline,NORMAL_014,0.0,0,1.2,collector generated events filtered; multiple benign applications opened
llama3,baseline,SEC_017,0.0,0,2,code.exe opened and benign background process; powershell.exe; powershell.exe and python.exe running monitored processes; python.exe
llama3,baseline,PROC_005,0.0,0,2,collector is not an admin; powershell.exe; powershell.exe and windowsterminal.exe processes detected as risky; windowsterminal.exe
llama3,baseline,SEC_005,0.0,0,2,defender is disabled; powershell.exe elevated process; realtime protection was temporarily disabled; realtime_protection_disabled
llama3,baseline,AUTH_005,0.0,0,2,"failed login activity with high count (6); multiple elevated processes (cmd.exe, powershell.exe, python.exe)"
llama3,baseline,USB_007,0.0,0,2,"benign_background_processes: notepad.exe; no suspicious network activity; running common processes; running_monitored_processes: cmd.exe, powershell.exe, python.exe"
llama3,baseline,NET_005,0.0,0,1,code.exe opened as benign background process; code.exe opened as elevated process
llama3,baseline,AUTH_003,0.0,0,2,"multiple failed logins; running of cmd.exe, powershell.exe, and python.exe"
llama3,baseline,SEC_010,0.0,0,2,defender disabled; powershell.exe and windowsterminal.exe running concurrently
llama3,baseline,NET_012,0.0,0,1,nmap.exe; nmap.exe in risky_processes
llama3,baseline,AUTH_009,0.0,0,2,failed_login_activity: true; powershell.exe and windowsterminal.exe in risky_processes list
llama3,baseline,USB_017,0.0,0,2,"benign background processes: code.exe, notepad.exe, powershell.exe (vscode shell integration); running monitored processes: powershell.exe, python.exe"
llama3,baseline,PROC_016,0.0,0,1.8,cmd.exe and windowsterminal.exe in the risky_processes list; risky_processes include cmd.exe and windowsterminal.exe; running_monitored_processes contain cmd.exe and windowsterminal.exe
llama3,baseline,PERSIST_006,0.0,0,1,scheduled task change detected
llama3,baseline,PROC_006,0.0,0,2,"cmd.exe and windowsterminal.exe are classified as risky processes; collector_is_admin is false, but cmd.exe was run with elevated privileges; defender services are disabled"
llama3,baseline,PERSIST_017,0.0,0,2,"benign background process: notepad.exe; running monitored processes: powershell.exe, python.exe"
llama3,baseline,PERSIST_014,0.0,0,1,powershell.exe
llama3,baseline,NORMAL_016,0.0,0,2,"benign background processes (1password-browsersupport, code, etc.); running common applications (notepad, code, winword)"
llama3,baseline,NORMAL_006,0.0,0,2,multiple legitimate processes running; private network profile; user opened code and msedge applications
qwen3:8b,baseline,NORMAL_008,0.0,2,1,no_risky_processes
qwen3:8b,baseline,NORMAL_014,0.0,0,2,no malware detected; no suspicious processes
qwen3:8b,baseline,SEC_017,0.0,2,1,no_risky_processes
qwen3:8b,baseline,PROC_005,0.0,0,2,risky_processes; suspicious_process_context; verified_commands
qwen3:8b,baseline,SEC_005,0.0,1,2,defender_events_inconsistent; elevated_processes
qwen3:8b,baseline,AUTH_005,0.0,0,2,failed login activity; high number of failed logins
qwen3:8b,baseline,USB_007,0.0,1,2,no_risky_processes; usb_content_type_script_or_executable_visible
qwen3:8b,baseline,NET_005,0.0,0,2,no antivirus or real-time protection enabled; no suspicious processes or network activity
qwen3:8b,baseline,AUTH_003,0.0,0,2,failed login activity; multiple failed logins
qwen3:8b,baseline,SEC_010,0.0,1,1,risky_processes
qwen3:8b,baseline,NET_012,0.0,1,1,risky_processes
qwen3:8b,baseline,AUTH_009,0.0,0,2,multiple failed logins; risky processes running; suspicious processes
qwen3:8b,baseline,USB_017,0.0,1.2,1.8,no_risky_processes; no_usb_activity
qwen3:8b,baseline,PROC_016,0.0,1,2,no_file_downloads; no_unusual_network_activity
qwen3:8b,baseline,PERSIST_006,0.0,0,1,scheduled_task_change
qwen3:8b,baseline,PROC_006,0.0,0,2,no malware detected; no suspicious processes
qwen3:8b,baseline,PERSIST_017,0.0,2,1,no_risky_processes
qwen3:8b,baseline,PERSIST_014,0.0,0,2,risky_processes; service_change
qwen3:8b,baseline,NORMAL_016,0.0,1.2,1.8,no_risky_processes; no_usb_activity
qwen3:8b,baseline,NORMAL_006,0.0,2,1,no_risky_processes
deepseek-r1:8b,rag,NORMAL_008,1.0,2,0,
deepseek-r1:8b,rag,NORMAL_014,0.0,0,2,indicator_1; indicator_2
deepseek-r1:8b,rag,SEC_017,1.0,2,0,
deepseek-r1:8b,rag,PROC_005,0.8,1.8,0.2,process_listing_context
deepseek-r1:8b,rag,SEC_005,1.0,1,0,
deepseek-r1:8b,rag,AUTH_005,0.0,0,3,failed_login_activity: true; failed_login_count_band: high; network_context: private
deepseek-r1:8b,rag,USB_007,0.0,0,2,indicator_1; indicator_2
deepseek-r1:8b,rag,NET_005,0.0,0,2,indicator_1; indicator_2
deepseek-r1:8b,rag,AUTH_003,0.0,0,2,"failed_login_activity = true; failed_login_activity: true; failed_login_count_band indicates multiple failures (band is 'multiple') and failed_logins count is 2, which aligns with the medium severity criteria; failed_login_count_band: multiple"
deepseek-r1:8b,rag,SEC_010,1.0,1,0,
deepseek-r1:8b,rag,NET_012,0.0,0,2,indicator_1; indicator_2
deepseek-r1:8b,rag,AUTH_009,0.0,0,2,failed_login_activity = true; failed_login_count_band indicates multiple failures (multiple)
deepseek-r1:8b,rag,USB_017,1.0,3,0,
deepseek-r1:8b,rag,PROC_016,0.0,0,2,indicator_1; indicator_2
deepseek-r1:8b,rag,PERSIST_006,0.0,0,2,indicator_1; indicator_2
deepseek-r1:8b,rag,PROC_006,0.0,0,2,indicator_1; indicator_2
deepseek-r1:8b,rag,PERSIST_017,1.0,2,0,
deepseek-r1:8b,rag,PERSIST_014,0.0,0,2,indicator_1; indicator_2
deepseek-r1:8b,rag,NORMAL_016,1.0,3,0,
deepseek-r1:8b,rag,NORMAL_006,1.0,2,0,
gemma3:12b,rag,NORMAL_008,1.0,3,0,
gemma3:12b,rag,NORMAL_014,1.0,1,0,
gemma3:12b,rag,SEC_017,1.0,3,0,
gemma3:12b,rag,PROC_005,1.0,3,0,
gemma3:12b,rag,SEC_005,1.0,1,0,
gemma3:12b,rag,AUTH_005,1.0,2,0,
gemma3:12b,rag,USB_007,1.0,2,0,
gemma3:12b,rag,NET_005,1.0,2,0,
gemma3:12b,rag,AUTH_003,0.8,1.8,0.2,multiple
gemma3:12b,rag,SEC_010,1.0,3,0,
gemma3:12b,rag,NET_012,1.0,3,0,
gemma3:12b,rag,AUTH_009,0.0,1,1,risky_processes
gemma3:12b,rag,USB_017,1.0,3,0,
gemma3:12b,rag,PROC_016,1.0,6,0,
gemma3:12b,rag,PERSIST_006,0.0,0,2,scheduled_task_change; scheduled_task_details
gemma3:12b,rag,PROC_006,1.0,2.8,0,
gemma3:12b,rag,PERSIST_017,1.0,3,0,
gemma3:12b,rag,PERSIST_014,0.0,1,1,service_change
gemma3:12b,rag,NORMAL_016,1.0,4,0,
gemma3:12b,rag,NORMAL_006,1.0,3,0,
gpt-oss:20b,rag,NORMAL_008,1.0,2,0,
gpt-oss:20b,rag,NORMAL_014,0.0,0,2,defender_not_disabled; firewall_no_change
gpt-oss:20b,rag,SEC_017,1.0,2,0,
gpt-oss:20b,rag,PROC_005,0.0,1,1,firewall_disabled
gpt-oss:20b,rag,SEC_005,0.0,1,1,elevated_powershell; elevated_processes
gpt-oss:20b,rag,AUTH_005,1.0,2,0,
gpt-oss:20b,rag,USB_007,0.0,0.2,1.8,unknown_usb_device; usb_script_visible
gpt-oss:20b,rag,NET_005,0.4,0.8,1.2,defender_real_time_protection_disabled; defender_realtime_protection_disabled; public_network_profile
gpt-oss:20b,rag,AUTH_003,0.8,1.8,0.2,multiple_failed_login_attempts
gpt-oss:20b,rag,SEC_010,0.0,1,1,manual_review_realtime_protection_disabled_and_restored
gpt-oss:20b,rag,NET_012,0.0,1,1,nmap_executed; risky_process_execution
gpt-oss:20b,rag,AUTH_009,0.0,1,1,risky_processes
gpt-oss:20b,rag,USB_017,1.0,2,0,
gpt-oss:20b,rag,PROC_016,1.0,2,0,
gpt-oss:20b,rag,PERSIST_006,0.0,0,2,defender realtime protection disabled; defender services disabled; defender_realtime_protection_disabled; scheduled task updated; scheduled_task_updated
gpt-oss:20b,rag,PROC_006,0.0,0.6,1.4,defender_real_time_disabled; defender_real_time_protection_disabled; defender_realtime_protection_disabled; firewall_all_disabled; firewall_disabled; no_defender_config_change
gpt-oss:20b,rag,PERSIST_017,1.0,2,0,
gpt-oss:20b,rag,PERSIST_014,0.0,0,2,defender real-time protection disabled; defender_realtime_protection_disabled; service change detected; service_change
gpt-oss:20b,rag,NORMAL_016,0.8,1.8,0.2,no_risky_activity
gpt-oss:20b,rag,NORMAL_006,1.0,2,0,
llama3,rag,NORMAL_008,1.0,3,0,
llama3,rag,NORMAL_014,0.0,1,1,firewall_events
llama3,rag,SEC_017,1.0,3,0,
llama3,rag,PROC_005,0.0,1,2,risky_processes; windowsterminal.exe
llama3,rag,SEC_005,0.0,1,1,realtime_protection_enabled = false
llama3,rag,AUTH_005,1.0,3,0,
llama3,rag,USB_007,1.0,2,0,
llama3,rag,NET_005,0.0,1,1,failed_login_activity
llama3,rag,AUTH_003,1.0,2,0,
llama3,rag,SEC_010,0.0,1,2,powershell.exe; windowsterminal.exe
llama3,rag,NET_012,0.0,1,2,failed_login_activity; nmap.exe
llama3,rag,AUTH_009,0.2,1.2,0.8,risky_processes
llama3,rag,USB_017,1.0,5,0,
llama3,rag,PROC_016,1.0,6,0,
llama3,rag,PERSIST_006,0.0,1,1,scheduled_task_change
llama3,rag,PROC_006,0.0,1,1,risky_processes
llama3,rag,PERSIST_017,1.0,3,0,
llama3,rag,PERSIST_014,0.0,1,2,powershell.exe; service_change
llama3,rag,NORMAL_016,1.0,3,0,
llama3,rag,NORMAL_006,1.0,4,0,
qwen3:8b,rag,NORMAL_008,1.0,3,0,
qwen3:8b,rag,NORMAL_014,1.0,2,0,
qwen3:8b,rag,SEC_017,1.0,3,0,
qwen3:8b,rag,PROC_005,1.0,2,0,
qwen3:8b,rag,SEC_005,1.0,2,0,
qwen3:8b,rag,AUTH_005,1.0,2,0,
qwen3:8b,rag,USB_007,1.0,2,0,
qwen3:8b,rag,NET_005,1.0,1,0,
qwen3:8b,rag,AUTH_003,1.0,2,0,
qwen3:8b,rag,SEC_010,0.0,1,1,risky_processes
qwen3:8b,rag,NET_012,0.0,1,1,risky_processes
qwen3:8b,rag,AUTH_009,0.0,1,1,risky_processes
qwen3:8b,rag,USB_017,1.0,3,0,
qwen3:8b,rag,PROC_016,1.0,3,0,
qwen3:8b,rag,PERSIST_006,0.0,1,1,scheduled_task_change
qwen3:8b,rag,PROC_006,0.0,0,2,benign_background_processes; verified_activity_context.command_activity
qwen3:8b,rag,PERSIST_017,1.0,3,0,
qwen3:8b,rag,PERSIST_014,1.0,2,0,
qwen3:8b,rag,NORMAL_016,1.0,3,0,
qwen3:8b,rag,NORMAL_006,1.0,3,0,
