scenario_id,category,scenario_name,ground_truth_class,ground_truth_risk,expected_indicators,label_reason,scenario_source,evaluation_status,evidence_basis
NORMAL_009,NORMAL,Normal settings viewing without making changes,normal,low,settings_viewed,Viewing system settings without changing them is treated as normal because the endpoint configuration remains unchanged.,collected,ready,structured_summary
NORMAL_010,NORMAL,Normal cloud folder or local folder browsing,normal,low,file_browsing,Browsing local or cloud-synchronised folders is routine file-management activity when no suspicious file is executed.,collected,ready,structured_summary
NORMAL_011,NORMAL,Normal media or image viewing,normal,low,media_viewing,Viewing images or media is ordinary endpoint use and does not by itself indicate abnormal behaviour.,collected,ready,structured_summary
NORMAL_012,NORMAL,Normal opening and closing of common applications,normal,low,normal_app_activity,Switching between common applications is representative of a normal desktop session rather than a security incident.,collected,ready,structured_summary
NORMAL_013,NORMAL,Normal email or communication activity,normal,low,communication_app_activity,Checking email or using a communication application is normal work activity in the absence of a suspicious attachment or download.,collected,ready,structured_summary
NORMAL_014,NORMAL,Normal low-risk desktop session with no security-relevant action,normal,low,normal_app_activity,This is a general baseline session containing only standard application use and no deliberate security-relevant action.,collected,ready,structured_summary
NORMAL_015,NORMAL,Normal browsing of trusted websites with no downloads or security changes,normal,low,browser_activity,Browsing trusted websites without downloading files or changing security settings is ordinary web use.,collected,ready,structured_summary
NORMAL_016,NORMAL,Normal Word document editing and saving activity,normal,low,document_activity,Editing and saving a Word document is a normal productivity workflow with no security-relevant side effect.,collected,ready,structured_summary
NORMAL_017,NORMAL,Normal Notepad text editing with no command-line or security activity,normal,low,document_activity,"Notepad text editing is benign because no shell, script, or security setting is involved.",collected,ready,structured_summary
NORMAL_018,NORMAL,"Normal switching between browser, Word, and File Explorer",normal,low,browser_activity;document_activity;file_browsing;normal_app_activity,"Moving between a browser, Word, and File Explorer reflects normal multitasking across standard applications.",collected,ready,structured_summary
PERSIST_001,PERSIST,Task Scheduler opened with no changes,normal,low,task_scheduler_viewed;no_persistence_change,"Opening Task Scheduler without creating, changing, or deleting a task is a benign administrative action.",collected,ready,structured_summary
PERSIST_002,PERSIST,Existing scheduled tasks viewed only,normal,low,task_scheduler_viewed;no_persistence_change,Reviewing existing scheduled tasks is read-only and does not establish persistence.,collected,ready,structured_summary
PERSIST_003,PERSIST,Services list viewed only,normal,low,services_viewed;no_persistence_change,Viewing the Services console without changing a service leaves the system configuration intact.,collected,ready,structured_summary
PERSIST_004,PERSIST,Startup apps viewed only,normal,low,startup_items_viewed;no_persistence_change,Reviewing startup applications without adding or removing an item does not create persistence.,collected,ready,structured_summary
PERSIST_005,PERSIST,Harmless scheduled task created for test,abnormal,high,scheduled_task_created,"Creating a scheduled task establishes an automatic execution mechanism that can be abused for persistence, even when the test action is harmless.",collected,ready,structured_summary
PERSIST_006,PERSIST,Harmless scheduled task modified for test,abnormal,high,scheduled_task_modified,Modifying a scheduled task changes an existing automatic execution mechanism and is therefore security-relevant.,collected,ready,structured_summary
PERSIST_007,PERSIST,Harmless scheduled task deleted after test,abnormal,medium,scheduled_task_deleted,Deleting a scheduled task changes an automatic execution mechanism and may remove evidence or disable a legitimate control; it is therefore security-relevant.,collected,ready,structured_summary
PERSIST_008,PERSIST,Harmless startup shortcut added for test,abnormal,medium,startup_item_added,"Adding a startup shortcut establishes execution at user logon. Because the test item was harmless and no other risky signal was present, medium risk is more proportionate than high risk.",collected,ready,structured_summary_plus_operator_note
PERSIST_009,PERSIST,Harmless startup shortcut removed after test,normal,low,startup_item_removed;cleanup_activity,"Removing the harmless test startup shortcut is cleanup that reduces persistence rather than creating it, so it is classified as normal and low risk.",collected,ready,scenario_action_and_benign_summary
PERSIST_010,PERSIST,Test service start type viewed or changed in controlled test,abnormal,high,service_configuration_changed,"Changing a service start type can cause software to execute automatically or disable a service, making it a high-risk configuration action.",collected,ready,structured_summary
PERSIST_011,PERSIST,Scheduled task created while PowerShell is open,abnormal,high,scheduled_task_created;powershell_activity,Creating a scheduled task while PowerShell is open combines a persistence mechanism with command-line control and is treated as high risk.,augmented,ready,structured_summary
PERSIST_012,PERSIST,Scheduled task created after controlled file download,abnormal,critical,file_download;scheduled_task_created,A download followed by scheduled-task creation links content delivery with persistence and therefore receives a critical label.,augmented,ready,structured_summary
PERSIST_013,PERSIST,Startup item added while Defender is disabled,abnormal,high,defender_disabled;startup_item_added,Adding a startup item while protection is disabled combines persistence with reduced security controls. High risk is appropriate; critical would require stronger execution or impact evidence.,augmented,ready,structured_summary_plus_operator_note
PERSIST_014,PERSIST,Service or persistence-related change combined with suspicious process activity,abnormal,critical,service_configuration_changed;suspicious_command_pattern,A persistence-related system change combined with suspicious process activity indicates both configuration manipulation and active execution.,augmented,ready,structured_summary
PERSIST_015,PERSIST,Task Scheduler opened and existing tasks viewed only,normal,low,task_scheduler_viewed;no_persistence_change,Viewing scheduled tasks without making changes does not create or modify persistence.,collected,ready,structured_summary
PERSIST_016,PERSIST,Services list opened and viewed without changing service settings,normal,low,services_viewed;no_persistence_change,Opening the Services console without changing a service is read-only administrative activity.,collected,ready,structured_summary
PERSIST_017,PERSIST,Startup apps viewed without adding or removing startup items,normal,low,startup_items_viewed;no_persistence_change,Reviewing startup applications without adding or removing entries leaves persistence settings unchanged.,collected,ready,structured_summary
PROC_001,PROC,PowerShell opened for normal command use,normal,low,powershell_activity;basic_command_use,"PowerShell opened for routine use without a script, encoded command, or security-control change is normal and low risk.",collected,ready,structured_summary
PROC_002,PROC,CMD opened for normal command use,normal,low,cmd_activity;basic_command_use,Opening CMD for an ordinary command is legitimate administration and remains normal and low risk.,collected,ready,structured_summary
PROC_003,PROC,Windows Terminal opened for normal command use,normal,low,terminal_activity;basic_command_use,Opening Windows Terminal for ordinary command use is legitimate activity and remains normal and low risk.,collected,ready,structured_summary
PROC_004,PROC,VS Code terminal used for normal development activity,normal,low,development_activity,A VS Code terminal used for development is expected programmer activity and is not treated as suspicious on its own.,collected,ready,structured_summary
PROC_005,PROC,PowerShell used to list local processes,abnormal,medium,powershell_activity;process_enumeration,"Process enumeration is more security-relevant than merely opening PowerShell, but the actual Get-Process command must be present to justify the medium-risk label.",collected,ready,structured_summary_plus_operator_note
PROC_006,PROC,CMD used to check network configuration,abnormal,medium,network_configuration_query,Querying detailed network configuration is a legitimate diagnostic action but can also support host reconnaissance; the test therefore labels it abnormal at medium risk.,collected,ready,structured_summary
PROC_007,PROC,PowerShell script run from local test folder,abnormal,high,script_execution,Running a PowerShell script is higher risk than opening the shell because it executes a sequence of commands. The script execution detail must be visible in the scenario input.,collected,ready,structured_summary_plus_operator_note
PROC_008,PROC,PowerShell unusual or encoded-looking command used in controlled test,abnormal,high,suspicious_command_pattern,An encoded or unusually structured PowerShell command is high risk because it can conceal intent. The distinguishing command evidence must be included before evaluation.,collected,ready,structured_summary_plus_operator_note
PROC_009,PROC,Nmap opened or version checked,abnormal,medium,network_scanner_activity,"The captured nmap --version command confirms the scanner was opened without performing a scan, so medium risk is appropriate.",collected,ready,structured_summary
PROC_010,PROC,Nmap scan run against local authorised test target,abnormal,high,network_scanner_activity;network_scan;authorised_local_target,"The captured Nmap commands performed a scan against an authorised local target, which is more consequential than a version check and supports high risk.",collected,ready,structured_signal_added
PROC_011,PROC,Unknown executable from Downloads opened in controlled test,abnormal,high,executable_execution;unknown_executable,Opening an unknown executable from Downloads introduces untrusted code from a common delivery location and carries a high execution risk.,augmented,ready,structured_summary
PROC_012,PROC,Script run after controlled file download,abnormal,critical,file_download;script_execution,"Downloading a file and then running a script forms a clear delivery-and-execution chain, which is treated as critical.",augmented,ready,structured_summary
PROC_013,PROC,PowerShell activity while Defender is disabled,abnormal,critical,defender_disabled;powershell_activity,PowerShell activity during a Defender-disabled period combines a capable scripting environment with reduced monitoring.,augmented,ready,structured_summary
PROC_014,PROC,PowerShell or CMD activity combined with failed login activity,abnormal,critical,failed_login;terminal_activity,Command-line activity combined with failed logins links authentication anomalies to active endpoint interaction and is treated as critical.,augmented,ready,structured_summary
PROC_015,PROC,PowerShell opened and closed without running suspicious commands,normal,low,powershell_activity;no_additional_risky_activity,"PowerShell was opened and closed without suspicious commands or follow-on actions, so it is normal and low risk.",collected,ready,structured_summary
PROC_016,PROC,CMD opened and used for a basic directory listing,normal,low,cmd_activity;file_browsing,"A basic directory listing is routine command-line use with no suspicious parameters or follow-on activity, so it remains normal and low risk.",collected,ready,structured_summary
PROC_017,PROC,VS Code terminal used for normal development activity,normal,low,development_activity,Using the VS Code terminal for normal development is legitimate programmer activity.,collected,ready,structured_summary
SEC_001,SEC,Windows Security dashboard opened with no changes,normal,low,settings_viewed,Opening the Windows Security dashboard is a normal administrative check when no protection setting is changed.,collected,ready,structured_summary
SEC_002,SEC,Defender status checked only,normal,low,settings_viewed;defender_enabled,Checking Defender status while protection remains enabled is legitimate verification activity.,collected,ready,structured_summary
SEC_003,SEC,Firewall settings viewed with no changes,normal,low,settings_viewed;no_security_change,Reviewing firewall settings without changing them leaves the security posture unchanged and is therefore normal.,collected,ready,structured_summary
SEC_004,SEC,Security history viewed with no changes,normal,low,security_history_viewed;settings_viewed,Viewing security history is a read-only action and does not weaken or modify endpoint protection.,collected,ready,structured_summary
SEC_005,SEC,Defender real-time protection temporarily disabled and restored,abnormal,high,defender_disabled;security_setting_restored,"Temporarily disabling real-time protection creates a clear window in which malicious activity could avoid inspection, even though protection is restored.",collected,ready,structured_summary
SEC_006,SEC,Defender setting changed temporarily and restored,abnormal,medium,defender_configuration_changed;security_setting_restored,"A temporary Defender configuration change alters the protection baseline. Restoration limits the exposure, making medium risk appropriate.",collected,ready,operator_note_manual_verification
SEC_007,SEC,Firewall setting changed temporarily and restored,abnormal,high,firewall_configuration_changed;security_setting_restored,Changing firewall configuration can alter network exposure. Restoring the setting limits the duration but the action remains high risk.,collected,ready,structured_summary
SEC_008,SEC,Defender disabled while browser is open,abnormal,high,defender_disabled;browser_activity,Disabling Defender while a browser is active creates an opportunity for web-delivered content to bypass normal real-time inspection.,collected,ready,structured_summary
SEC_009,SEC,Defender disabled before controlled download,abnormal,critical,defender_disabled;file_download,Disabling Defender before a download is a particularly concerning sequence because it reduces protection immediately before new content enters the system.,collected,ready,structured_summary
SEC_010,SEC,Defender disabled while PowerShell is open,abnormal,high,defender_disabled;powershell_activity,PowerShell activity during a Defender-disabled window combines a powerful administrative shell with reduced endpoint protection.,collected,ready,structured_summary
SEC_011,SEC,Defender configuration changed,abnormal,high,defender_configuration_changed;defender_disabled,"The captured Defender configuration changes include real-time protection being disabled, which justifies a high-risk security-control event.",collected,ready,structured_summary
SEC_012,SEC,Security protection disabled combined with USB activity,abnormal,critical,defender_disabled;usb_connected,Disabling security protection while connecting USB media creates a direct opportunity for untrusted content to evade inspection.,collected,ready,structured_summary
SEC_013,SEC,Defender disabled combined with suspicious process activity,abnormal,high,powershell_activity;defender_disabled,PowerShell activity while endpoint protection is disabled is high risk. Critical severity is not justified without stronger evidence of execution impact or compromise.,collected,ready,structured_summary_plus_operator_note
SEC_014,SEC,Multiple security control changes performed and restored,abnormal,high,defender_configuration_changed;defender_disabled;security_setting_restored,"Several security-control changes, including temporary protection disablement, create substantial exposure. High risk is proportionate because the controls were restored and no compromise was observed.",collected,ready,structured_summary
SEC_015,SEC,Windows Security opened and viewed without making changes,normal,low,settings_viewed,Viewing Windows Security without applying changes is a legitimate read-only check.,collected,ready,structured_summary
SEC_016,SEC,Defender status viewed and left enabled,normal,low,settings_viewed;defender_enabled,Checking Defender while it remains enabled confirms normal protection rather than weakening it.,collected,ready,structured_summary
SEC_017,SEC,Firewall settings viewed and left unchanged,normal,low,settings_viewed;no_security_change,Viewing firewall settings without changing them preserves the existing network protection configuration.,collected,ready,structured_summary
USB_001,USB,Authorised USB inserted with no suspicious file activity,normal,low,authorised_usb;no_file_execution,Connecting an authorised USB device without opening or executing files is legitimate removable-media use.,collected,ready,structured_summary
USB_002,USB,Authorised USB inserted and folder viewed,normal,low,authorised_usb;usb_files_viewed,Viewing folders on an authorised USB is normal when the device is trusted and no executable content is accessed.,collected,ready,structured_summary
USB_003,USB,Authorised USB inserted and normal file copied,normal,low,authorised_usb;usb_file_copied,Copying a harmless document from an authorised USB is a routine transfer rather than risky execution.,collected,ready,structured_summary
USB_004,USB,Single USB use during normal work,normal,low,authorised_usb;normal_app_activity,Using an authorised USB during ordinary work is low risk because no suspicious file or secondary security event is present.,collected,ready,structured_summary
USB_005,USB,Unknown USB inserted with no file opened,abnormal,medium,unknown_usb;no_file_execution,"An unknown removable device creates moderate exposure even when no file is opened, but the untrusted-device context must be explicit in the input.",collected,ready,structured_summary_plus_operator_note
USB_006,USB,Unknown USB inserted and files browsed,abnormal,medium,unknown_usb;usb_files_viewed,Browsing an unknown USB increases exposure to untrusted content. Both the unknown-device and browsing context must be visible in the input.,collected,ready,structured_summary_plus_operator_note
USB_007,USB,USB contains executable or script file visible,abnormal,medium,usb_connected;usb_script_or_executable_present;no_file_execution,"Seeing an executable or script on removable media creates moderate concern, but no execution occurred. The file-type context must be present in the model input.",collected,ready,structured_summary_plus_operator_note
USB_008,USB,USB executable or script accessed in controlled test,abnormal,high,usb_connected;usb_script_or_executable_accessed,Accessing executable or script content from USB introduces a direct execution path from untrusted removable media.,collected,ready,structured_summary
USB_009,USB,Multiple USB insertion events,abnormal,medium,multiple_usb_connections,"Repeated insertion of removable media in a short period is unusual and may indicate device testing, data movement, or evasion behaviour.",collected,ready,structured_summary
USB_010,USB,USB activity after failed login activity,abnormal,high,failed_login;usb_connected,Authentication failures followed by USB activity combine two unrelated risk signals and justify a high-risk label.,collected,ready,structured_summary
USB_011,USB,USB activity while PowerShell is open,abnormal,high,usb_connected;powershell_activity,"USB activity combined with an active PowerShell environment creates a credible route from removable media to command execution, supporting high risk.",collected,ready,structured_summary
USB_012,USB,USB activity while Defender protection is disabled,abnormal,critical,usb_connected;defender_disabled,Connecting USB media while Defender is disabled removes an important protection layer from untrusted removable content.,collected,ready,structured_summary
USB_013,USB,USB activity with compressed archive accessed,abnormal,high,usb_connected;usb_archive_accessed,Accessing a compressed archive from removable media is high risk because archives can conceal scripts or executables. The archive-access signal must be included in the input.,collected,ready,structured_summary_plus_operator_note
USB_014,USB,USB activity combined with suspicious process activity,abnormal,high,usb_connected;suspicious_command_pattern,"The scenario is intended to combine USB activity with suspicious process execution. High risk is appropriate, but the specific suspicious command or process must be visible to distinguish it from ordinary PowerShell activity.",collected,ready,structured_summary_plus_operator_note
USB_015,USB,Authorised USB inserted and removed without opening files,normal,low,authorised_usb;cleanup_activity,An authorised USB that is connected and safely removed without file access is legitimate device use.,collected,ready,structured_summary
USB_016,USB,Authorised USB used to view a normal text file only,normal,low,authorised_usb;usb_files_viewed,Viewing a normal text file on an authorised USB is low risk because the content is non-executable and the device is trusted.,collected,ready,structured_summary
USB_017,USB,Authorised USB used to copy a harmless document file,normal,low,authorised_usb;usb_file_copied,Copying a harmless document from an authorised USB is a normal data-transfer activity.,collected,ready,structured_summary
