document_id,category,title,filename,document_type,benign,abnormal,indicator_tokens,active_for_retrieval
NORMAL_001,NORMAL,Routine Desktop and Application Activity,NORMAL/NORMAL_001_routine_desktop_and_application_activity.md,benign baseline guidance,True,False,normal_app_activity|document_activity|communication_app_activity|development_activity|media_viewing|no_additional_risky_activity,True
NORMAL_002,NORMAL,Normal Document and File Browsing Activity,NORMAL/NORMAL_002_normal_document_and_file_browsing_activity.md,benign baseline guidance,True,False,document_activity|file_browsing|media_viewing|no_file_execution|no_additional_risky_activity,True
NORMAL_003,NORMAL,Normal Browsing and Private Network Use,NORMAL/NORMAL_003_normal_browsing_and_private_network_use.md,benign baseline guidance,True,False,browser_activity|normal_network_activity|private_network|public_network|no_additional_risky_activity,True
NORMAL_004,NORMAL,Benign Settings Viewing and Cleanup Activity,NORMAL/NORMAL_004_benign_settings_viewing_and_cleanup_activity.md,benign baseline guidance,True,False,settings_viewed|cleanup_activity|no_security_change|no_persistence_change|no_additional_risky_activity,True
PERSIST_001,PERSIST,Persistence Settings Viewed Only,PERSIST/PERSIST_001_persistence_settings_viewed_only.md,benign baseline guidance,True,False,task_scheduler_viewed|services_viewed|startup_items_viewed|no_persistence_change|no_additional_risky_activity,True
PERSIST_002,PERSIST,Scheduled Task Created or Modified,PERSIST/PERSIST_002_scheduled_task_created_or_modified.md,abnormal single-signal guidance,False,True,scheduled_task_created|scheduled_task_modified|task_scheduler_viewed,True
PERSIST_003,PERSIST,Scheduled Task Deleted or Test Cleanup,PERSIST/PERSIST_003_scheduled_task_deleted_or_test_cleanup.md,contrastive diagnostic guidance,True,False,scheduled_task_deleted|cleanup_activity|no_persistence_change|no_additional_risky_activity,True
PERSIST_004,PERSIST,Startup Item Added or Removed,PERSIST/PERSIST_004_startup_item_added_or_removed.md,contrastive diagnostic guidance,False,True,startup_item_added|startup_item_removed|startup_items_viewed|cleanup_activity,True
PERSIST_005,PERSIST,Service or Persistence Change With Security Risk,PERSIST/PERSIST_005_service_or_persistence_change_with_security_risk.md,compound-risk guidance,False,True,service_configuration_changed|scheduled_task_created|startup_item_added|defender_disabled|script_execution,True
PROC_001,PROC,Benign Command-Line Use,PROC/PROC_001_benign_command_line_use.md,benign baseline guidance,True,False,powershell_activity|cmd_activity|terminal_activity|basic_command_use|development_activity|no_additional_risky_activity,True
PROC_002,PROC,Process and Network Information Queries,PROC/PROC_002_process_and_network_information_queries.md,contrastive diagnostic guidance,True,False,process_enumeration|network_configuration_query|basic_command_use|terminal_activity|no_additional_risky_activity,True
PROC_003,PROC,Script Execution,PROC/PROC_003_script_execution.md,abnormal single-signal guidance,False,True,script_execution|powershell_activity|terminal_activity|suspicious_command_pattern|file_download,True
PROC_004,PROC,Unusual or Encoded Command Patterns,PROC/PROC_004_unusual_or_encoded_command_patterns.md,abnormal single-signal guidance,False,True,suspicious_command_pattern|powershell_activity|script_execution|terminal_activity,True
PROC_005,PROC,Process Activity With Security Weakening,PROC/PROC_005_process_activity_with_security_weakening.md,compound-risk guidance,False,True,script_execution|suspicious_command_pattern|powershell_activity|defender_disabled|scheduled_task_created,True
SEC_001,SEC,Security Settings Viewed Only,SEC/SEC_001_security_settings_viewed_only.md,benign baseline guidance,True,False,security_history_viewed|settings_viewed|defender_enabled|no_security_change,True
SEC_002,SEC,Security Setting Changed and Restored,SEC/SEC_002_security_setting_changed_and_restored.md,contrastive diagnostic guidance,False,True,defender_configuration_changed|security_setting_restored|defender_enabled|no_additional_risky_activity,True
SEC_003,SEC,Defender Disabled,SEC/SEC_003_defender_disabled.md,abnormal single-signal guidance,False,True,defender_disabled|defender_configuration_changed,True
SEC_004,SEC,Firewall Configuration Changed,SEC/SEC_004_firewall_configuration_changed.md,abnormal single-signal guidance,False,True,firewall_configuration_changed|defender_disabled|no_additional_risky_activity,True
SEC_005,SEC,Multiple Security Control Changes,SEC/SEC_005_multiple_security_control_changes.md,compound-risk guidance,False,True,defender_disabled|defender_configuration_changed|firewall_configuration_changed|security_setting_restored,True
USB_001,USB,Authorised USB Use,USB/USB_001_authorised_usb_use.md,benign baseline guidance,True,False,authorised_usb|usb_connected|usb_files_viewed|usb_file_copied|no_file_execution,True
USB_002,USB,Unknown USB Without File Execution,USB/USB_002_unknown_usb_without_file_execution.md,contrastive diagnostic guidance,False,True,unknown_usb|usb_connected|usb_files_viewed|usb_script_or_executable_present|no_file_execution|multiple_usb_connections,True
USB_003,USB,USB File and Archive Activity,USB/USB_003_usb_file_and_archive_activity.md,contrastive diagnostic guidance,False,True,usb_archive_accessed|usb_file_copied|usb_script_or_executable_present|authorised_usb|unknown_usb|no_file_execution,True
USB_004,USB,USB Script or Executable Activity,USB/USB_004_usb_script_or_executable_activity.md,abnormal single-signal guidance,False,True,usb_script_or_executable_accessed|usb_script_or_executable_present|executable_execution|script_execution|unknown_usb|unknown_executable,True
USB_005,USB,USB Activity Combined With Security or Process Risk,USB/USB_005_usb_activity_combined_with_security_or_process_risk.md,compound-risk guidance,False,True,unknown_usb|usb_script_or_executable_accessed|defender_disabled|suspicious_command_pattern|script_execution|executable_execution,True
