record_id,scenario_id,category,scenario_name,predicted_class,ground_truth_class,class_match,outcome,manual_review,predicted_risk,ground_truth_risk,risk_match,indicator_overlap,predicted_indicators,expected_indicators,retrieved_doc_ids,retrieved_scores,model_explanation,model_recommendation,latency_seconds,retries_used,json_valid,strict_schema_valid,error
R025,PERSIST_016,PERSIST,Services list opened and viewed without changing service settings,normal,normal,TRUE,TN,,low,low,TRUE,0.0,private_network; no_additional_risky_activity,services_viewed;no_persistence_change,NET_001; NORMAL_003; NET_002,16; 16; 8,"The device is operating on a private network with no risky co-signal, indicating ordinary connectivity and browsing.",No action needed; this activity is normal.,5.018,0,TRUE,TRUE,
R026,AUTH_008,AUTH,Repeated failed logins followed by successful normal use,abnormal,abnormal,TRUE,TP,,high,high,TRUE,0.0,failed_login_activity: true; failed_login_count_band: multiple; network_context: private,repeated_failed_logins;successful_login,AUTH_003; NORMAL_003; AUTH_004,22; 19; 16,"The user experienced a high number of failed login attempts, which is an abnormal authentication signal. This activity occurred on a private network profile but the count and repetition are concerning.",Investigate for possible brute-force attack or account compromise.,6.282,0,TRUE,TRUE,
R027,SEC_008,SEC,Defender disabled while browser is open,normal or risky,abnormal,FALSE,UNSCORED,,"low, medium, high, or critical",high,FALSE,0.0,indicator_1; indicator_2,defender_disabled;browser_activity,SEC_003; AUTH_005; NORMAL_003,24; 19; 19,one or two sentence explanation a user could understand,short safe recommendation,5.485,0,TRUE,FALSE,
R028,AUTH_005,AUTH,Multiple failed login attempts,abnormal,abnormal,TRUE,TP,,high,medium,FALSE,0.0,failed_login_activity: true; failed_login_count_band: high; network_context: private,repeated_failed_logins,AUTH_004; NORMAL_003; AUTH_003,27; 23; 19,"The device has a high number of failed login attempts, which is an abnormal authentication signal. This occurred on a private network but the count alone suggests automated guessing behavior.",Investigate for brute-force attacks and secure accounts.,5.57,0,TRUE,TRUE,
R029,USB_007,USB,USB contains executable or script file visible,normal or risky,abnormal,FALSE,UNSCORED,,"low, medium, high, or critical",medium,FALSE,0.0,indicator_1; indicator_2,usb_connected;usb_script_or_executable_present;no_file_execution,NET_001; NORMAL_003; USB_004,16; 16; 14,one or two sentence explanation a user could understand,short safe recommendation,5.07,0,TRUE,FALSE,
R030,USB_012,USB,USB activity while Defender protection is disabled,abnormal,abnormal,TRUE,TP,,high,critical,FALSE,0.5,defender_disabled,usb_connected;defender_disabled,SEC_003; USB_005; AUTH_005,23; 19; 16,"Defender real-time protection is disabled, which removes a key defense layer and indicates high-risk behavior.",Enable Microsoft Defender real-time protection immediately.,5.215,0,TRUE,TRUE,
R031,AUTH_017,AUTH,Normal session after successful login with no authentication errors,normal,normal,TRUE,TN,,low,low,TRUE,0.0,private_network; basic_command_use; no_additional_risky_activity,successful_login;normal_app_activity,NET_001; NORMAL_003; PROC_001,16; 16; 9,The device is operating on a private network with basic command-line use and no risky co-signal.,No action needed; this activity appears normal.,5.226,0,TRUE,TRUE,
R032,PERSIST_015,PERSIST,Task Scheduler opened and existing tasks viewed only,normal,normal,TRUE,TN,,low,low,TRUE,0.0,private_network; no_additional_risky_activity,task_scheduler_viewed;no_persistence_change,NET_001; NORMAL_003; NET_002,16; 16; 8,"The device is operating on a private network with no risky co-signal, indicating ordinary connectivity and browsing.",No action needed; this activity appears normal.,5.236,0,TRUE,TRUE,
R033,USB_004,USB,Single USB use during normal work,normal,normal,TRUE,TN,,low,low,TRUE,0.0,private_network; basic_command_use; no_additional_risky_activity,authorised_usb;normal_app_activity,NET_001; NORMAL_003; PROC_001,16; 16; 9,The device is operating on a private network and has basic command-line activity without any risky co-signal.,No action needed; this activity appears normal.,11.765,0,TRUE,TRUE,
R034,NET_014,NET,Public network profile combined with failed logins and scanner activity,normal or risky,abnormal,FALSE,UNSCORED,,"low, medium, high, or critical",critical,FALSE,0.0,indicator_1; indicator_2,public_network;failed_login;network_scanner_activity,AUTH_005; AUTH_002; NET_002,28; 19; 19,one or two sentence explanation a user could understand,short safe recommendation,5.443,0,TRUE,FALSE,
R035,PERSIST_001,PERSIST,Task Scheduler opened with no changes,normal,normal,TRUE,TN,,low,low,TRUE,1.0,private_network; no_persistence_change; task_scheduler_viewed,task_scheduler_viewed;no_persistence_change,NET_001; NORMAL_003; PERSIST_001,18; 17; 16,The device is operating on a private network and only viewing Task Scheduler without any changes or risky activities indicates normal administrative behavior.,No action needed; this activity is part of routine system administration.,5.491,0,TRUE,TRUE,
R036,USB_005,USB,Unknown USB inserted with no file opened,normal or risky,abnormal,FALSE,UNSCORED,,"low, medium, high, or critical",medium,FALSE,0.0,indicator_1; indicator_2,unknown_usb;no_file_execution,SEC_003; USB_005; SEC_004,20; 14; 13,one or two sentence explanation a user could understand,short safe recommendation,5.236,0,TRUE,FALSE,
R037,USB_015,USB,Authorised USB inserted and removed without opening files,normal,normal,TRUE,TN,,low,low,TRUE,0.0,private_network; no_additional_risky_activity,authorised_usb;cleanup_activity,NET_001; NORMAL_003; USB_001,16; 16; 10,"The device is operating on a private network with no risky co-signal, so this activity is normal.",No action needed; continue monitoring for other potential risks.,5.312,0,TRUE,TRUE,
R038,NORMAL_015,NORMAL,Normal browsing of trusted websites with no downloads or security changes,normal,normal,TRUE,TN,,low,low,TRUE,0.0,private_network; no_additional_risky_activity,browser_activity,NORMAL_003; NET_001; NET_002,17; 16; 9,The device is operating on a private network with no risky activities or indicators present.,No action needed; this activity appears normal.,5.597,0,TRUE,TRUE,
R039,NORMAL_002,NORMAL,Normal browser activity,normal,normal,TRUE,TN,,low,low,TRUE,0.0,private_network; basic_command_use; no_additional_risky_activity,browser_activity,NET_001; NORMAL_003; PROC_001,16; 16; 9,The device is operating on a private network and has basic command-line activity without any risky co-signal.,No action needed; this activity appears normal.,5.432,0,TRUE,TRUE,
R040,NET_006,NET,Public network activity with controlled browser download,normal or risky,abnormal,FALSE,UNSCORED,,"low, medium, high, or critical",medium,FALSE,0.0,indicator_1; indicator_2,public_network;file_download,SEC_003; AUTH_005; NET_002,19; 18; 18,one or two sentence explanation a user could understand,short safe recommendation,5.46,0,TRUE,FALSE,
R041,NET_008,NET,Public network activity combined with failed login activity,abnormal,abnormal,TRUE,TP,,medium,high,FALSE,1.0,public_network; failed_login_activity,public_network;failed_login,AUTH_005; NET_002; NORMAL_003,17; 17; 16,"The device is connected to a public network and has evidence of failed login activity, which together indicate a potential security risk.",Investigate the source of failed logins on the public network.,5.682,0,TRUE,TRUE,
R042,NET_007,NET,Public network activity while PowerShell is open,normal,abnormal,FALSE,FN,,low,high,FALSE,0.0,failed_login_activity = true; failed_login_count_band indicates single failure; network_profile is public but no other risk signals present,public_network;powershell_activity,AUTH_002; AUTH_005; NET_002,22; 22; 19,"The user experienced one isolated failed login on a public network, which is typically due to ordinary mistyping and does not indicate any abnormal behavior.",No action required; this activity is consistent with normal user error.,6.622,0,TRUE,TRUE,
R043,NORMAL_018,NORMAL,"Normal switching between browser, Word, and File Explorer",normal or risky,normal,FALSE,UNSCORED,,"low, medium, high, or critical",low,FALSE,0.0,indicator_1; indicator_2,browser_activity;document_activity;file_browsing;normal_app_activity,NET_001; NORMAL_003; PROC_001,17; 17; 15,one or two sentence explanation a user could understand,short safe recommendation,4.955,0,TRUE,FALSE,
R044,NORMAL_017,NORMAL,Normal Notepad text editing with no command-line or security activity,normal,normal,TRUE,TN,,low,low,TRUE,0.0,private_network; basic_command_use; no_additional_risky_activity,document_activity,NET_001; NORMAL_003; PROC_001,16; 16; 9,The device is operating on a private network and showing basic command-line use without any risky co-signal.,No action needed; this activity appears normal.,4.991,0,TRUE,TRUE,
R045,NET_002,NET,Public network normal browsing session,normal,normal,TRUE,TN,,low,low,TRUE,0.0,private_network; no_additional_risky_activity,public_network;browser_activity,NET_001; NORMAL_003; NET_002,16; 16; 8,"The device is operating on a private network with no risky co-signal, and there are no signs of scanning or failed login activity.",No action needed; this activity appears normal.,5.594,0,TRUE,TRUE,
R046,NET_005,NET,Public network profile detected,normal or risky,normal,FALSE,UNSCORED,,"low, medium, high, or critical",low,FALSE,0.0,indicator_1; indicator_2,public_network;no_additional_risky_activity,AUTH_005; NET_002; SEC_003,18; 18; 18,one or two sentence explanation a user could understand,short safe recommendation,5.104,0,TRUE,FALSE,
R047,NET_009,NET,Network scanner opened or version checked,abnormal,abnormal,TRUE,TP,,medium,medium,TRUE,0.0,scanner_version_check; private_network,network_scanner_activity,PROC_001; NET_004; NET_001,21; 18; 17,"A network scanner was version-checked, which is not the same as executing a scan. However, this activity on a private network profile may still be unusual and requires further investigation.",Investigate if an active network scan has been performed or if there are other risky signals present.,6.26,0,TRUE,TRUE,
R048,AUTH_002,AUTH,Two failed login attempts followed by normal use,abnormal,normal,FALSE,FP,,high,low,FALSE,0.0,failed_login_activity: true; failed_login_count_band: multiple,repeated_failed_logins;successful_login,AUTH_003; NORMAL_003; AUTH_004,22; 20; 17,"The user experienced a high number of failed login attempts, which is an abnormal authentication signal.",Investigate the source of repeated failed logins and consider resetting the password or implementing multi-factor authentication.,5.447,0,TRUE,TRUE,
R049,PROC_004,PROC,VS Code terminal used for normal development activity,normal,normal,TRUE,TN,,low,low,TRUE,0.0,private_network; basic_command_use; no_additional_risky_activity,development_activity,NET_001; NORMAL_003; PROC_001,16; 16; 9,The device is operating on a private network and showing basic command-line activity without any risky co-signal.,No action needed; this behavior appears normal.,5.229,0,TRUE,TRUE,
R050,AUTH_003,AUTH,Failed login activity on private network,abnormal,normal,FALSE,FP,,medium,low,FALSE,0.5,"failed_login_activity = true; failed_login_count_band indicates multiple failures (band: 'multiple') and failed_logins=2, which is a small number but still above an isolated error. Note that the count band is qualitative.; The activity window isn't specified as short or long in this data.",failed_login;private_network,AUTH_003; NORMAL_003; AUTH_004,22; 19; 16,"There was a limited number of repeated failed login attempts (specifically two failures) on a private network profile, which could indicate human error but should be investigated further for potential brute-force attacks.",Investigate the source of the failed logins and verify if it's due to user error or malicious activity.,6.982,0,TRUE,TRUE,
R051,SEC_010,SEC,Defender disabled while PowerShell is open,abnormal,abnormal,TRUE,TP,,high,high,TRUE,0.5,defender_disabled,defender_disabled;powershell_activity,SEC_003; PROC_005; USB_005,26; 22; 21,"Defender real-time protection is disabled, which removes a key defense layer and indicates abnormal activity.",Enable Microsoft Defender real-time protection immediately.,5.533,0,TRUE,TRUE,
R052,NORMAL_004,NORMAL,Normal Teams activity,normal or risky,normal,FALSE,UNSCORED,,"low, medium, high, or critical",low,FALSE,0.0,indicator_1; indicator_2,communication_app_activity;normal_app_activity,SEC_003; SEC_004; PROC_005,21; 14; 12,one or two sentence explanation a user could understand,short safe recommendation,5.367,0,TRUE,FALSE,
R053,PERSIST_011,PERSIST,Scheduled task created while PowerShell is open,normal or risky,abnormal,FALSE,UNSCORED,,"low, medium, high, or critical",high,FALSE,0.0,indicator_1; indicator_2,scheduled_task_created;powershell_activity,PERSIST_002; SEC_003; SEC_004,17; 17; 15,one or two sentence explanation a user could understand,short safe recommendation,5.253,0,TRUE,FALSE,
R054,SEC_006,SEC,Defender setting changed temporarily and restored,normal or risky,abnormal,FALSE,UNSCORED,,"low, medium, high, or critical",medium,FALSE,0.0,indicator_1; indicator_2,defender_configuration_changed;security_setting_restored,SEC_003; SEC_002; SEC_004,22; 19; 19,one or two sentence explanation a user could understand,short safe recommendation,5.344,0,TRUE,FALSE,
R055,USB_011,USB,USB activity while PowerShell is open,normal or risky,abnormal,FALSE,UNSCORED,,"low, medium, high, or critical",high,FALSE,0.0,indicator_1; indicator_2,usb_connected;powershell_activity,SEC_003; USB_005; NORMAL_001,20; 18; 16,one or two sentence explanation a user could understand,short safe recommendation,5.608,0,TRUE,FALSE,
R056,PROC_002,PROC,CMD opened for normal command use,normal,normal,TRUE,TN,,low,low,TRUE,0.5,private_network; basic_command_use; no_additional_risky_activity,cmd_activity;basic_command_use,NET_001; NORMAL_003; PROC_001,17; 17; 15,The device is operating on a private network with basic command-line use and no risky co-signal.,No action needed; this activity appears normal.,5.476,0,TRUE,TRUE,
R057,NORMAL_010,NORMAL,Normal cloud folder or local folder browsing,normal,normal,TRUE,TN,,low,low,TRUE,0.0,private_network; no_additional_risky_activity,file_browsing,NET_001; NORMAL_003; NET_002,16; 16; 8,"The device is operating on a private network with no risky co-signal, indicating ordinary connectivity and browsing.",No action needed; this activity appears normal.,5.0,0,TRUE,TRUE,
R058,PERSIST_007,PERSIST,Harmless scheduled task deleted after test,normal or risky,abnormal,FALSE,UNSCORED,,"low, medium, high, or critical",medium,FALSE,0.0,indicator_1; indicator_2,scheduled_task_deleted,PERSIST_003; NET_001; NORMAL_003,17; 16; 16,one or two sentence explanation a user could understand,short safe recommendation,5.444,0,TRUE,FALSE,
R059,NORMAL_003,NORMAL,Normal VS Code activity,normal,normal,TRUE,TN,,low,low,TRUE,0.0,private_network; no_additional_risky_activity,development_activity,NET_001; NORMAL_003; NET_002,16; 16; 8,"The device is operating on a private network with no risky co-signal, indicating ordinary connectivity and browsing.",No action needed; this activity appears normal.,5.27,0,TRUE,TRUE,
R060,NET_012,NET,Network scanner activity while on public network profile,normal or risky,abnormal,FALSE,UNSCORED,,"low, medium, high, or critical",high,FALSE,0.0,indicator_1; indicator_2,public_network;network_scanner_activity,AUTH_005; NET_002; SEC_003,17; 17; 16,one or two sentence explanation a user could understand,short safe recommendation,4.828,0,TRUE,FALSE,
R061,AUTH_001,AUTH,One failed login attempt followed by normal use,normal or risky,normal,FALSE,UNSCORED,,"low, medium, high, or critical",low,FALSE,0.0,indicator_1; indicator_2,failed_login;successful_login,AUTH_002; NORMAL_003; AUTH_004,20; 19; 17,one or two sentence explanation a user could understand,short safe recommendation,5.474,0,TRUE,FALSE,
R062,NORMAL_009,NORMAL,Normal settings viewing without making changes,normal,normal,TRUE,TN,,low,low,TRUE,0.0,private_network; no_additional_risky_activity,settings_viewed,NET_001; NORMAL_003; NET_002,16; 16; 8,"The device is operating on a private network with no risky activities detected, such as scans or failed logins.",No action needed; this activity appears normal.,5.278,0,TRUE,TRUE,
R063,PERSIST_008,PERSIST,Harmless startup shortcut added for test,normal,abnormal,FALSE,FN,,low,medium,FALSE,0.0,"startup_item_change = true; startup_action: added, but with context of manual_review_operator_note",startup_item_added,PERSIST_004; NET_001; NORMAL_003,23; 16; 16,"The addition of a startup item was manually reviewed and approved by an operator note, indicating it is part of legitimate system configuration.",No action needed; the activity appears to be sanctioned.,5.747,0,TRUE,TRUE,
R064,PROC_008,PROC,PowerShell unusual or encoded-looking command used in controlled test,abnormal,abnormal,TRUE,TP,,medium,high,FALSE,0.0,powershell_activity; terminal_activity,suspicious_command_pattern,PROC_001; NET_001; NORMAL_003,22; 17; 17,"The activity involves unusual PowerShell commands and terminal usage, which may indicate potential security risks despite the private network context.",Investigate for script execution or other suspicious patterns.,5.396,0,TRUE,TRUE,
R065,NET_013,NET,Public network profile combined with Defender disabled,abnormal,abnormal,TRUE,TP,,high,critical,FALSE,1.0,defender_disabled; public_network,public_network;defender_disabled,AUTH_005; SEC_003; NET_002,21; 21; 16,"The device has Microsoft Defender real-time protection disabled and is connected to a public network, which increases the risk level.",Enable Microsoft Defender real-time protection immediately.,5.572,0,TRUE,TRUE,
R066,AUTH_007,AUTH,High number of failed login attempts,abnormal,abnormal,TRUE,TP,,high,high,TRUE,0.0,failed_login_activity: true; failed_login_count_band: multiple; failed_logins: 3,high_failed_login_count,AUTH_003; NORMAL_003; AUTH_004,20; 18; 15,"The user experienced a high number of failed login attempts within a short window, which is an abnormal authentication signal consistent with automated guessing behavior.",Investigate the source of repeated failed logins and consider implementing multi-factor authentication.,5.737,0,TRUE,TRUE,
R067,AUTH_009,AUTH,Failed login activity while PowerShell is open,abnormal,abnormal,TRUE,TP,,medium,high,FALSE,0.5,failed_login_activity = true; failed_login_count_band indicates multiple failures (multiple),failed_login;powershell_activity,AUTH_003; NORMAL_003; NORMAL_001,23; 20; 18,"The device shows repeated failed login attempts, which is a concerning sign even if not combined with other severe indicators.",Investigate the source of these failed logins and consider changing the password.,5.918,0,TRUE,TRUE,
R068,NORMAL_001,NORMAL,Normal Word document activity,normal,normal,TRUE,TN,,low,low,TRUE,0.0,private_network; no_additional_risky_activity,document_activity,NORMAL_003; NET_001; NET_002,17; 16; 9,"The device is operating on a private network with no risky activities detected, such as scans or failed logins.",No action needed; continue monitoring for other potential risks.,5.114,0,TRUE,TRUE,
R069,PROC_012,PROC,Script run after controlled file download,normal or risky,abnormal,FALSE,UNSCORED,,"low, medium, high, or critical",critical,FALSE,0.0,indicator_1; indicator_2,file_download;script_execution,NORMAL_003; SEC_003; NET_001,18; 17; 16,one or two sentence explanation a user could understand,short safe recommendation,5.249,0,TRUE,FALSE,
R070,PERSIST_010,PERSIST,Test service start type viewed or changed in controlled test,abnormal,abnormal,TRUE,TP,,high,high,TRUE,0.0,service_change,service_configuration_changed,SEC_003; PERSIST_005; SEC_004,22; 20; 15,"The service change without any explanation or context raises a high-risk signal, as it could indicate an attempt to alter system functionality.",Investigate the purpose of the service change and restore any modified settings if necessary.,5.692,0,TRUE,TRUE,
R071,AUTH_004,AUTH,Minor authentication mistake during normal session,normal or risky,normal,FALSE,UNSCORED,,"low, medium, high, or critical",low,FALSE,0.0,indicator_1; indicator_2,failed_login;successful_login;normal_app_activity,SEC_003; AUTH_005; AUTH_002,23; 22; 20,one or two sentence explanation a user could understand,short safe recommendation,5.214,0,TRUE,FALSE,
R072,SEC_004,SEC,Security history viewed with no changes,normal,normal,TRUE,TN,,low,low,TRUE,0.0,private_network; no_additional_risky_activity,security_history_viewed;settings_viewed,NET_001; NORMAL_003; NET_002,16; 16; 8,"The device is operating on a private network with no risky co-signal, indicating ordinary connectivity and browsing.",No action needed; this activity appears normal.,5.15,0,TRUE,TRUE,
R073,AUTH_011,AUTH,Failed login activity while connected to public network,normal or risky,abnormal,FALSE,UNSCORED,,"low, medium, high, or critical",high,FALSE,0.0,indicator_1; indicator_2,failed_login;public_network,AUTH_005; NET_002; NORMAL_003,16; 16; 15,one or two sentence explanation a user could understand,short safe recommendation,5.27,0,TRUE,FALSE,
R074,NORMAL_005,NORMAL,Normal file browsing in Documents,normal,normal,TRUE,TN,,low,low,TRUE,0.0,private_network; no_additional_risky_activity,file_browsing,NET_001; NORMAL_003; NET_002,16; 16; 8,"The device is operating on a private network with no risky co-signal, indicating ordinary connectivity and browsing.",No action needed; this activity appears normal.,5.252,0,TRUE,TRUE,
