record_id,scenario_id,category,scenario_name,predicted_class,ground_truth_class,class_match,outcome,manual_review,predicted_risk,ground_truth_risk,risk_match,indicator_overlap,predicted_indicators,expected_indicators,retrieved_doc_ids,retrieved_scores,model_explanation,model_recommendation,latency_seconds,retries_used,json_valid,strict_schema_valid,error
R011,PROC_005,PROC,PowerShell used to list local processes,abnormal,abnormal,TRUE,TP,,medium,medium,TRUE,0.5,powershell_activity; terminal_activity; defender_disabled,powershell_activity;process_enumeration,PROC_001; SEC_003; PROC_005,20; 20; 18,"Windows Terminal and PowerShell were opened, indicating potential command-line activity. Defender is disabled which increases the risk level.",Investigate PowerShell commands.,13.465,0,TRUE,TRUE,
R012,SEC_003,SEC,Firewall settings viewed with no changes,normal,normal,TRUE,TN,,low,low,TRUE,0.0,private_network; normal_network_activity; no_additional_risky_activity; powershell_activity; cmd_activity; basic_command_use,settings_viewed;no_security_change,NET_001; NORMAL_003; PROC_001,16; 16; 15,"The device is operating on a private network and shows activity with PowerShell, Command Prompt, and Python. The command activity appears to be basic and no scripts are being executed.",continue monitoring,15.823,0,TRUE,TRUE,
R013,SEC_015,SEC,Windows Security opened and viewed without making changes,normal,normal,TRUE,TN,,low,low,TRUE,1.0,private_network; settings_viewed; defender_enabled; no_security_change,settings_viewed,NET_001; NORMAL_003; SEC_001,18; 18; 17,"The user viewed the Windows Security interface, but no security settings were changed. This is normal maintenance activity.",No action required.,13.252,0,TRUE,TRUE,
R014,PERSIST_004,PERSIST,Startup apps viewed only,normal,normal,TRUE,TN,,low,low,TRUE,0.0,private_network; settings_viewed; no_additional_risky_activity,startup_items_viewed;no_persistence_change,PERSIST_004; NET_001; NORMAL_004,18; 17; 17,"The user viewed the startup applications interface on a private network. This is normal activity, as viewing settings interfaces and browsing private networks are benign actions.",continue monitoring,14.084,0,TRUE,TRUE,
R015,AUTH_006,AUTH,Repeated failed login attempts in short time,abnormal,abnormal,TRUE,TP,,medium,medium,TRUE,1.0,repeated_failed_logins; high_failed_login_count,repeated_failed_logins,AUTH_004; NORMAL_003; AUTH_003,24; 20; 17,"The device has experienced a high number of failed login attempts, which could indicate an attempted brute-force attack. While the network profile is private, repeated failures warrant investigation.",Review user account activity and consider implementing multi-factor authentication.,14.323,0,TRUE,TRUE,
R016,SEC_014,SEC,Multiple security control changes performed and restored,abnormal,abnormal,TRUE,TP,,critical,high,FALSE,0.333,defender_disabled; firewall_configuration_changed,defender_configuration_changed;defender_disabled;security_setting_restored,SEC_003; PERSIST_005; SEC_004,22; 15; 15,"Microsoft Defender is disabled, and there's evidence of firewall configuration changes. This combination significantly weakens endpoint security.",Investigate immediately.,12.698,0,TRUE,TRUE,
R017,SEC_016,SEC,Defender status viewed and left enabled,normal,normal,TRUE,TN,,low,low,TRUE,0.0,private_network; powershell_activity; no_additional_risky_activity,settings_viewed;defender_enabled,NET_001; NORMAL_003; PROC_001,16; 16; 9,"The device is operating on a private network and PowerShell is running, which is common for development or administration tasks. No other risky activity is present.",continue monitoring,13.768,0,TRUE,TRUE,
R018,SEC_005,SEC,Defender real-time protection temporarily disabled and restored,abnormal,abnormal,TRUE,TP,,high,high,TRUE,0.5,defender_disabled,defender_disabled;security_setting_restored,SEC_003; PROC_005; AUTH_005,31; 19; 18,"Microsoft Defender real-time protection is disabled, which significantly reduces the device's security posture. This action alone warrants concern.",Investigate why Defender is disabled and re-enable it.,12.881,0,TRUE,TRUE,
R019,USB_002,USB,Authorised USB inserted and folder viewed,normal,normal,TRUE,TN,,low,low,TRUE,0.0,private_network; normal_network_activity; no_additional_risky_activity,authorised_usb;usb_files_viewed,NET_001; NORMAL_003; USB_002,16; 16; 9,The device is connected to a private network and shows normal browsing activity. No risky actions or security signals are present.,continue monitoring,13.343,0,TRUE,TRUE,
R020,AUTH_015,AUTH,Successful login with no failed attempts,normal,normal,TRUE,TN,,low,low,TRUE,0.0,private_network; powershell_activity; no_additional_risky_activity,successful_login,NET_001; NORMAL_003; PROC_001,16; 16; 9,"The device is operating on a private network and PowerShell is running, which is common for development or administration tasks. No other risky activity is present.",continue monitoring,11.937,0,TRUE,TRUE,
R021,NET_004,NET,Wi-Fi or network settings viewed without changes,normal,normal,TRUE,TN,,low,low,TRUE,0.0,private_network; normal_network_activity; no_additional_risky_activity,network_profile_viewed;settings_viewed,NET_001; NORMAL_003; NET_002,17; 16; 8,The device is operating on a private network with no other risky activity detected. This aligns with normal baseline behavior.,continue monitoring,11.769,0,TRUE,TRUE,
R022,PROC_007,PROC,PowerShell script run from local test folder,abnormal,abnormal,TRUE,TP,,medium,high,FALSE,1.0,script_execution; powershell_activity,script_execution,PROC_003; PROC_001; NET_001,28; 22; 19,"A PowerShell script was executed, which is a potentially risky action. While the context appears to be a local test folder, script execution warrants investigation.",Review the contents of 'test_script.ps1'.,14.234,0,TRUE,TRUE,
R023,PROC_003,PROC,Windows Terminal opened for normal command use,normal,normal,TRUE,TN,,low,low,TRUE,1.0,powershell_activity; cmd_activity; terminal_activity; basic_command_use; private_network; no_additional_risky_activity,terminal_activity;basic_command_use,NET_001; NORMAL_003; PROC_001,17; 17; 15,"The user opened a terminal and PowerShell, which is common for development or administration tasks. The activity context shows no suspicious commands were executed on a private network.",continue monitoring,16.602,0,TRUE,TRUE,
R024,PROC_010,PROC,Nmap scan run against local authorised test target,abnormal,abnormal,TRUE,TP,,medium,high,FALSE,0.333,cmd_activity; nmap_use; local_network_scan,network_scanner_activity;network_scan;authorised_local_target,PROC_001; NET_001; NORMAL_003,19; 18; 18,"The user is running nmap, a network scanning tool, from the command line. While this can be legitimate for troubleshooting or security testing, it's also frequently used by attackers to map networks.",Investigate the purpose of the scan.,16.977,0,TRUE,TRUE,
R025,PERSIST_016,PERSIST,Services list opened and viewed without changing service settings,normal,normal,TRUE,TN,,low,low,TRUE,0.0,private_network; normal_network_activity; no_additional_risky_activity,services_viewed;no_persistence_change,NET_001; NORMAL_003; NET_002,16; 16; 8,The device is operating on a private network with no other risky activity detected. This aligns with normal user behavior.,continue monitoring,13.366,0,TRUE,TRUE,
R026,AUTH_008,AUTH,Repeated failed logins followed by successful normal use,abnormal,abnormal,TRUE,TP,,medium,high,FALSE,0.5,repeated_failed_logins; high_failed_login_count,repeated_failed_logins;successful_login,AUTH_003; NORMAL_003; AUTH_004,22; 19; 16,"The device experienced multiple failed login attempts, which could indicate an attempt to gain unauthorized access. While the network profile is private, repeated failures warrant investigation.",Review user account activity and consider enforcing stronger password policies.,14.144,0,TRUE,TRUE,
R027,SEC_008,SEC,Defender disabled while browser is open,abnormal,abnormal,TRUE,TP,,high,high,TRUE,0.5,defender_disabled,defender_disabled;browser_activity,SEC_003; AUTH_005; NORMAL_003,24; 19; 19,"Microsoft Defender real-time protection is disabled, which removes a key security layer. This action alone warrants a high risk level.",Investigate why Defender was disabled and re-enable it.,12.817,0,TRUE,TRUE,
R028,AUTH_005,AUTH,Multiple failed login attempts,abnormal,abnormal,TRUE,TP,,medium,medium,TRUE,1.0,repeated_failed_logins; high_failed_login_count,repeated_failed_logins,AUTH_004; NORMAL_003; AUTH_003,27; 23; 19,"The device has experienced a high number of failed login attempts, which could indicate an unauthorized access attempt. While the network profile is private, repeated failures warrant investigation.",Review user account activity and consider enforcing stronger password policies.,14.51,0,TRUE,TRUE,
R029,USB_007,USB,USB contains executable or script file visible,abnormal,abnormal,TRUE,TP,,high,medium,FALSE,0.333,usb_script_or_executable_present; unknown_usb,usb_connected;usb_script_or_executable_present;no_file_execution,NET_001; NORMAL_003; USB_004,16; 16; 14,"A script or executable is visible on a USB device, indicating potential unauthorized software. This warrants further investigation.",Investigate the origin and purpose of the file.,15.145,0,TRUE,TRUE,
R030,USB_012,USB,USB activity while Defender protection is disabled,abnormal,abnormal,TRUE,TP,,high,critical,FALSE,0.5,defender_disabled,usb_connected;defender_disabled,SEC_003; USB_005; AUTH_005,23; 19; 16,"Microsoft Defender real-time protection is disabled, which significantly weakens endpoint security. This action alone warrants a high risk level.",Investigate why Defender is disabled and re-enable it.,12.571,0,TRUE,TRUE,
R031,AUTH_017,AUTH,Normal session after successful login with no authentication errors,normal,normal,TRUE,TN,,low,low,TRUE,0.0,private_network; browser_activity; powershell_activity; no_additional_risky_activity,successful_login;normal_app_activity,NET_001; NORMAL_003; PROC_001,16; 16; 9,"The device is operating on a private network and shows normal browsing activity, including the use of PowerShell. No suspicious commands or scripts were executed.",continue monitoring,14.454,0,TRUE,TRUE,
R032,PERSIST_015,PERSIST,Task Scheduler opened and existing tasks viewed only,normal,normal,TRUE,TN,,low,low,TRUE,0.0,private_network; normal_network_activity; no_additional_risky_activity,task_scheduler_viewed;no_persistence_change,NET_001; NORMAL_003; NET_002,16; 16; 8,The device is operating on a private network with no other risky activity detected. This aligns with normal user behavior.,No action required.,13.355,0,TRUE,TRUE,
R033,USB_004,USB,Single USB use during normal work,normal,normal,TRUE,TN,,low,low,TRUE,0.0,private_network; powershell_activity; cmd_activity; no_additional_risky_activity,authorised_usb;normal_app_activity,NET_001; NORMAL_003; PROC_001,16; 16; 9,"The user is running PowerShell and Command Prompt, which is normal for development or administration. The device is on a private network with no other risky activity detected.",continue monitoring,14.469,0,TRUE,TRUE,
R034,NET_014,NET,Public network profile combined with failed logins and scanner activity,abnormal,abnormal,TRUE,TP,,medium,critical,FALSE,0.667,failed_login_activity; public_network; network_scan,public_network;failed_login;network_scanner_activity,AUTH_005; AUTH_002; NET_002,28; 19; 19,A single failed login combined with a public network profile and the presence of nmap.exe indicates potential malicious activity.,Investigate nmap usage.,13.28,0,TRUE,TRUE,
R035,PERSIST_001,PERSIST,Task Scheduler opened with no changes,normal,normal,TRUE,TN,,low,low,TRUE,1.0,private_network; task_scheduler_viewed; no_persistence_change,task_scheduler_viewed;no_persistence_change,NET_001; NORMAL_003; PERSIST_001,18; 17; 16,The user viewed the Task Scheduler interface on a private network and no changes were made. This is normal administrative activity.,continue monitoring,15.359,0,TRUE,TRUE,
R036,USB_005,USB,Unknown USB inserted with no file opened,abnormal,abnormal,TRUE,TP,,high,medium,FALSE,0.5,defender_disabled; unknown_usb,unknown_usb;no_file_execution,SEC_003; USB_005; SEC_004,20; 14; 13,"Microsoft Defender real-time protection is disabled, and an unknown USB drive has been connected. This combination indicates a potential security risk.",Investigate the USB device and reason for Defender disablement.,13.31,0,TRUE,TRUE,
R037,USB_015,USB,Authorised USB inserted and removed without opening files,normal,normal,TRUE,TN,,low,low,TRUE,0.5,private_network; browser_activity; authorised_usb; usb_connected,authorised_usb;cleanup_activity,NET_001; NORMAL_003; USB_001,16; 16; 10,"The device is connected to a private network, browsing activity appears normal and an authorised USB drive has been connected. This aligns with typical user behavior.",no action required,13.982,0,TRUE,TRUE,
R038,NORMAL_015,NORMAL,Normal browsing of trusted websites with no downloads or security changes,normal,normal,TRUE,TN,,low,low,TRUE,0.0,private_network; normal_network_activity; no_additional_risky_activity,browser_activity,NORMAL_003; NET_001; NET_002,17; 16; 9,The device is operating on a private network with no other indicators of risk. This aligns with normal user activity.,No action required.,13.299,0,TRUE,TRUE,
R039,NORMAL_002,NORMAL,Normal browser activity,normal,normal,TRUE,TN,,low,low,TRUE,1.0,powershell_activity; cmd_activity; browser_activity; private_network; no_additional_risky_activity,browser_activity,NET_001; NORMAL_003; PROC_001,16; 16; 9,"The user is running common development tools (PowerShell, Code Editor, Opera) and accessing them on a private network. This activity aligns with normal usage for software development or administration.",continue monitoring,13.87,0,TRUE,TRUE,
R040,NET_006,NET,Public network activity with controlled browser download,abnormal,abnormal,TRUE,TP,,medium,medium,TRUE,0.0,network_profile; defender_disabled,public_network;file_download,SEC_003; AUTH_005; NET_002,19; 18; 18,"Defender is disabled and the device is connected to a public network, which increases the risk of compromise.",Enable Defender immediately.,12.88,0,TRUE,TRUE,
R041,NET_008,NET,Public network activity combined with failed login activity,abnormal,abnormal,TRUE,TP,,medium,high,FALSE,1.0,failed_login_activity; public_network,public_network;failed_login,AUTH_005; NET_002; NORMAL_003,17; 17; 16,"The device is connected to a public network and experiencing failed login attempts, which raises concern. This combination suggests a potential unauthorized access attempt.",Investigate the source of the failed logins.,13.375,0,TRUE,TRUE,
R042,NET_007,NET,Public network activity while PowerShell is open,abnormal,abnormal,TRUE,TP,,medium,high,FALSE,0.5,failed_login_activity; public_network; risky_processes,public_network;powershell_activity,AUTH_002; AUTH_005; NET_002,22; 22; 19,"A single failed login combined with a public network profile and the execution of potentially risky processes (PowerShell, Windows Terminal) raises concern. While a single failed login is often benign, the context of a public network warrants further investigation.",Review PowerShell/Terminal activity.,15.639,0,TRUE,TRUE,
R043,NORMAL_018,NORMAL,"Normal switching between browser, Word, and File Explorer",abnormal,normal,FALSE,FP,,medium,low,FALSE,0.0,powershell_activity; elevated_processes; risky_processes,browser_activity;document_activity;file_browsing;normal_app_activity,NET_001; NORMAL_003; PROC_001,17; 17; 15,"PowerShell was executed with elevated privileges and a hidden window style, running a script named 'task.bat'. While PowerShell use itself isn't inherently risky, the execution of a script from an unknown source warrants further investigation.",Investigate task.bat content.,15.976,0,TRUE,TRUE,
R044,NORMAL_017,NORMAL,Normal Notepad text editing with no command-line or security activity,normal,normal,TRUE,TN,,low,low,TRUE,0.0,private_network; powershell_activity; no_additional_risky_activity,document_activity,NET_001; NORMAL_003; PROC_001,16; 16; 9,"The device is operating on a private network and PowerShell is running, which is common for development or administration tasks. No suspicious activity or scripts were executed.",continue monitoring,13.511,0,TRUE,TRUE,
R045,NET_002,NET,Public network normal browsing session,normal,normal,TRUE,TN,,low,low,TRUE,0.0,private_network; normal_network_activity; no_additional_risky_activity,public_network;browser_activity,NET_001; NORMAL_003; NET_002,16; 16; 8,The device is operating on a private network with no other risky activity detected. This aligns with normal user behavior.,continue monitoring,13.202,0,TRUE,TRUE,
R046,NET_005,NET,Public network profile detected,abnormal,normal,FALSE,FP,,high,low,FALSE,0.5,public_network; defender_disabled,public_network;no_additional_risky_activity,AUTH_005; NET_002; SEC_003,18; 18; 18,"The device is connected to a public network and Microsoft Defender real-time protection is disabled, which significantly increases the risk of compromise.",Enable Microsoft Defender immediately.,12.769,0,TRUE,TRUE,
R047,NET_009,NET,Network scanner opened or version checked,abnormal,abnormal,TRUE,TP,,medium,medium,TRUE,1.0,network_scanner_activity; private_network,network_scanner_activity,PROC_001; NET_004; NET_001,21; 18; 17,"A network scanner (nmap) was opened and its version checked, which is a limited concern on a private network. While not an active scan, it warrants investigation.",Review nmap usage for legitimate purpose.,14.147,0,TRUE,TRUE,
R048,AUTH_002,AUTH,Two failed login attempts followed by normal use,abnormal,normal,FALSE,FP,,medium,low,FALSE,0.5,repeated_failed_logins; high_failed_login_count,repeated_failed_logins;successful_login,AUTH_003; NORMAL_003; AUTH_004,22; 20; 17,"The device has experienced multiple failed login attempts, which is a potential sign of unauthorized access or brute-force attacks.",Review user accounts and recent login activity.,14.012,0,TRUE,TRUE,
R049,PROC_004,PROC,VS Code terminal used for normal development activity,normal,normal,TRUE,TN,,low,low,TRUE,0.0,private_network; powershell_activity; cmd_activity; no_additional_risky_activity,development_activity,NET_001; NORMAL_003; PROC_001,16; 16; 9,"The device is operating on a private network and has PowerShell and Command Prompt running, which is common for development or administration tasks. No suspicious activity or scripts were executed.",continue monitoring,14.631,0,TRUE,TRUE,
R050,AUTH_003,AUTH,Failed login activity on private network,abnormal,normal,FALSE,FP,,medium,low,FALSE,0.5,repeated_failed_logins; multiple,failed_login;private_network,AUTH_003; NORMAL_003; AUTH_004,22; 19; 16,"The device experienced multiple failed login attempts, which is a potential sign of unauthorized access or brute-force attacks.",Review user account activity and consider enforcing stronger password policies.,13.095,0,TRUE,TRUE,
R051,SEC_010,SEC,Defender disabled while PowerShell is open,abnormal,abnormal,TRUE,TP,,high,high,TRUE,1.0,defender_disabled; script_execution; powershell_activity,defender_disabled;powershell_activity,SEC_003; PROC_005; USB_005,26; 22; 21,"Microsoft Defender is disabled, and PowerShell is running. This combination indicates a potential security compromise.",Investigate the PowerShell activity immediately.,14.135,0,TRUE,TRUE,
R052,NORMAL_004,NORMAL,Normal Teams activity,normal,normal,TRUE,TN,,low,low,TRUE,0.0,apps_opened; benign_background_processes,communication_app_activity;normal_app_activity,SEC_003; SEC_004; PROC_005,21; 14; 12,"The user opened Notepad and MS Teams, which are common applications. Defender is enabled.",continue monitoring,11.989,0,TRUE,TRUE,
R053,PERSIST_011,PERSIST,Scheduled task created while PowerShell is open,abnormal,abnormal,TRUE,TP,,high,high,TRUE,0.0,scheduled_task_change; defender_disabled,scheduled_task_created;powershell_activity,PERSIST_002; SEC_003; SEC_004,17; 17; 15,"A scheduled task was modified and Microsoft Defender is disabled, indicating potential persistence or malicious activity.",Investigate the scheduled task modification and reason for Defender disablement.,12.736,0,TRUE,TRUE,
R054,SEC_006,SEC,Defender setting changed temporarily and restored,abnormal,abnormal,TRUE,TP,,medium,medium,TRUE,0.0,defender_config_changed; verified_activity_context.defender_change,defender_configuration_changed;security_setting_restored,SEC_003; SEC_002; SEC_004,22; 19; 19,"A Defender configuration setting was changed and then restored, indicating a temporary period of reduced protection.",Review the reason for the change.,12.917,0,TRUE,TRUE,
R055,USB_011,USB,USB activity while PowerShell is open,abnormal,abnormal,TRUE,TP,,high,high,TRUE,0.0,defender_disabled; usb_script_or_executable_accessed,usb_connected;powershell_activity,SEC_003; USB_005; NORMAL_001,20; 18; 16,"Defender is disabled and PowerShell is running, which raises concerns about potential malicious activity. The presence of a USB device further increases the risk.",Investigate PowerShell execution.,13.757,0,TRUE,TRUE,
R056,PROC_002,PROC,CMD opened for normal command use,normal,normal,TRUE,TN,,low,low,TRUE,1.0,powershell_activity; cmd_activity; terminal_activity; basic_command_use; private_network; no_additional_risky_activity,cmd_activity;basic_command_use,NET_001; NORMAL_003; PROC_001,17; 17; 15,"The user is opening command-line tools (CMD, PowerShell, Windows Terminal) and browsing files. This activity is normal for development or administration on a private network.",continue monitoring,14.267,0,TRUE,TRUE,
R057,NORMAL_010,NORMAL,Normal cloud folder or local folder browsing,normal,normal,TRUE,TN,,low,low,TRUE,0.0,private_network; normal_network_activity; no_additional_risky_activity,file_browsing,NET_001; NORMAL_003; NET_002,16; 16; 8,The device is operating on a private network with no other risky activity detected. This aligns with normal baseline behavior.,continue monitoring,11.532,0,TRUE,TRUE,
R058,PERSIST_007,PERSIST,Harmless scheduled task deleted after test,abnormal,abnormal,TRUE,TP,,medium,medium,TRUE,1.0,scheduled_task_deleted; cleanup_activity,scheduled_task_deleted,PERSIST_003; NET_001; NORMAL_003,17; 16; 16,"A scheduled task was deleted. While this could be normal cleanup, it warrants investigation as it might indicate an attempt to remove evidence of a previous action.",Investigate the purpose and creation date of the deleted task.,13.986,0,TRUE,TRUE,
R059,NORMAL_003,NORMAL,Normal VS Code activity,normal,normal,TRUE,TN,,low,low,TRUE,0.0,private_network; normal_network_activity; no_additional_risky_activity,development_activity,NET_001; NORMAL_003; NET_002,16; 16; 8,The device is operating on a private network with no other risky activity detected. This aligns with normal baseline behavior.,No action required.,11.49,0,TRUE,TRUE,
R060,NET_012,NET,Network scanner activity while on public network profile,abnormal,abnormal,TRUE,TP,,high,high,TRUE,0.5,public_network; defender_disabled; network_scan,public_network;network_scanner_activity,AUTH_005; NET_002; SEC_003,17; 17; 16,"The device is connected to a public network, Microsoft Defender is disabled, and a network scanning tool (nmap.exe) has been executed. This combination of factors indicates a significant security risk.",Investigate the nmap scan immediately.,14.578,0,TRUE,TRUE,
R061,AUTH_001,AUTH,One failed login attempt followed by normal use,normal,normal,TRUE,TN,,low,low,TRUE,1.0,failed_login; successful_login,failed_login;successful_login,AUTH_002; NORMAL_003; AUTH_004,20; 19; 17,"There was one failed login attempt, but this is considered normal as a single failure can be due to user error. The device has standard security controls enabled.",monitor for repeated failures.,12.987,0,TRUE,TRUE,
R062,NORMAL_009,NORMAL,Normal settings viewing without making changes,normal,normal,TRUE,TN,,low,low,TRUE,0.0,private_network; normal_network_activity; no_additional_risky_activity,settings_viewed,NET_001; NORMAL_003; NET_002,16; 16; 8,The device is operating on a private network with no other risky activity detected. This aligns with normal user behavior.,No action required.,11.363,0,TRUE,TRUE,
R063,PERSIST_008,PERSIST,Harmless startup shortcut added for test,abnormal,abnormal,TRUE,TP,,high,medium,FALSE,1.0,startup_item_added; startup_action: added,startup_item_added,PERSIST_004; NET_001; NORMAL_003,23; 16; 16,A startup item ('Notepad startup shortcut') was added. This is a persistence mechanism and requires investigation.,Investigate the origin of the new startup item.,13.09,0,TRUE,TRUE,
R064,PROC_008,PROC,PowerShell unusual or encoded-looking command used in controlled test,abnormal,abnormal,TRUE,TP,,medium,high,FALSE,0.0,powershell_activity; cmd_activity; unusual_command_use; private_network,suspicious_command_pattern,PROC_001; NET_001; NORMAL_003,22; 17; 17,"PowerShell and a terminal are open, which is common for development or administration. However, the presence of an 'unusual' PowerShell command raises concern, even on a private network.",Investigate unusual PowerShell commands.,15.727,0,TRUE,TRUE,
R065,NET_013,NET,Public network profile combined with Defender disabled,abnormal,abnormal,TRUE,TP,,high,critical,FALSE,1.0,defender_disabled; public_network,public_network;defender_disabled,AUTH_005; SEC_003; NET_002,21; 21; 16,"Microsoft Defender is disabled and the device is connected to a public network, which significantly increases the risk of compromise.",Investigate why Defender is disabled.,12.66,0,TRUE,TRUE,
R066,AUTH_007,AUTH,High number of failed login attempts,abnormal,abnormal,TRUE,TP,,medium,high,FALSE,1.0,repeated_failed_logins; high_failed_login_count,high_failed_login_count,AUTH_003; NORMAL_003; AUTH_004,20; 18; 15,"The device has experienced multiple failed login attempts, which is a potential sign of unauthorized access or brute-force attacks.",Review user account activity and consider enforcing stronger password policies.,13.552,0,TRUE,TRUE,
R067,AUTH_009,AUTH,Failed login activity while PowerShell is open,abnormal,abnormal,TRUE,TP,,medium,high,FALSE,0.5,repeated_failed_logins; risky_processes,failed_login;powershell_activity,AUTH_003; NORMAL_003; NORMAL_001,23; 20; 18,"The user has experienced multiple failed login attempts, which could indicate an attacker trying to gain access. The presence of PowerShell and Windows Terminal in running processes warrants further investigation.",Investigate the source of repeated failed logins.,14.578,0,TRUE,TRUE,
R068,NORMAL_001,NORMAL,Normal Word document activity,normal,normal,TRUE,TN,,low,low,TRUE,0.0,private_network; normal_network_activity,document_activity,NORMAL_003; NET_001; NET_002,17; 16; 9,The device is operating on a private network with standard processes running and no detected risky activity. This aligns with normal user behavior.,no action required,13.527,0,TRUE,TRUE,
R069,PROC_012,PROC,Script run after controlled file download,abnormal,abnormal,TRUE,TP,,high,critical,FALSE,0.0,defender_disabled; risky_processes,file_download;script_execution,NORMAL_003; SEC_003; NET_001,18; 17; 16,"Microsoft Defender real-time protection is disabled, which significantly reduces the device's security posture. The presence of 'powershell.exe' in risky processes also raises concerns.",Investigate why Defender is disabled and re-enable it.,13.97,0,TRUE,TRUE,
R070,PERSIST_010,PERSIST,Test service start type viewed or changed in controlled test,abnormal,abnormal,TRUE,TP,,high,high,TRUE,0.0,service_change; defender_disabled,service_configuration_changed,SEC_003; PERSIST_005; SEC_004,22; 20; 15,"A service configuration change occurred alongside Defender being disabled, indicating a potential security risk.",Investigate the service change and confirm its legitimacy.,12.414,0,TRUE,TRUE,
R071,AUTH_004,AUTH,Minor authentication mistake during normal session,abnormal,normal,FALSE,FP,,medium,low,FALSE,0.333,failed_login_activity; defender_disabled,failed_login;successful_login;normal_app_activity,SEC_003; AUTH_005; AUTH_002,23; 22; 20,"There was one failed login attempt and Defender real-time protection is disabled, indicating a potential security concern.",Investigate the cause of the failed login and re-enable Defender.,13.151,0,TRUE,TRUE,
