record_id,scenario_id,category,scenario_name,predicted_class,ground_truth_class,class_match,outcome,manual_review,predicted_risk,ground_truth_risk,risk_match,indicator_overlap,predicted_indicators,expected_indicators,model_explanation,model_recommendation,latency_seconds,json_valid,error
R020,AUTH_015,AUTH,Successful login with no failed attempts,normal,normal,TRUE,TN,,low,low,TRUE,0.0,defender_enabled; no_risky_processes; private_network,successful_login,"The device has active antivirus and firewall protections, is on a private network, and no suspicious processes were detected.",Ensure all software is up to date and continue monitoring for unusual activity.,4.786,TRUE,
R021,NET_004,NET,Wi-Fi or network settings viewed without changes,normal,normal,TRUE,TN,,low,low,TRUE,0.0,defender_enabled; no_risky_processes; private_network,network_profile_viewed;settings_viewed,"The device has antivirus and firewall enabled, is on a private network, and no suspicious processes were detected.",No action required. Continue monitoring for unusual activity.,4.723,TRUE,
R022,PROC_007,PROC,PowerShell script run from local test folder,normal,abnormal,FALSE,FN,,low,high,FALSE,0.0,defender_enabled; no_unusual_network_activity; no_usb_activity,script_execution,"The device has active antivirus and firewall protections, no unusual network activity, and no USB devices connected, indicating normal behavior.",Ensure all software is up to date and continue monitoring for any changes.,4.984,TRUE,
R023,PROC_003,PROC,Windows Terminal opened for normal command use,normal,normal,TRUE,TN,,low,low,TRUE,0.0,defender_enabled; no_unusual_network_activity; no_file_downloads,terminal_activity;basic_command_use,"The device has active antivirus and firewall protections, no suspicious processes or network activity, and no file downloads detected.",Ensure all software is up to date and continue monitoring for unusual activity.,5.212,TRUE,
R024,PROC_010,PROC,Nmap scan run against local authorised test target,normal,abnormal,FALSE,FN,,low,high,FALSE,0.0,defender_enabled; network_profile_private; no_usb_activity,network_scanner_activity;network_scan;authorised_local_target,"The device has active antivirus and firewall protections, is on a private network, and no USB devices are connected. The nmap scans are limited to the local network and are part of verified activity.",Ensure all security software is up to date and monitor for any unexpected changes in process behavior.,5.599,TRUE,
R025,PERSIST_016,PERSIST,Services list opened and viewed without changing service settings,normal,normal,TRUE,TN,,low,low,TRUE,0.0,defender_enabled; no_risky_processes; private_network,services_viewed;no_persistence_change,"The device has active antivirus and firewall protections, is on a private network, and no suspicious processes were detected.",Ensure all software is up to date and continue monitoring for unusual activity.,5.033,TRUE,
R026,AUTH_008,AUTH,Repeated failed logins followed by successful normal use,abnormal,abnormal,TRUE,TP,,medium,high,FALSE,0.0,multiple failed logins; private network profile,repeated_failed_logins;successful_login,Multiple failed login attempts on a private network may indicate a brute force attack attempt.,Investigate the failed login attempts and ensure account credentials are secure.,4.685,TRUE,
R027,SEC_008,SEC,Defender disabled while browser is open,abnormal,abnormal,TRUE,TP,,medium,high,FALSE,0.5,defender_disabled; defender_events,defender_disabled;browser_activity,"Antivirus and real-time protection are disabled, which increases the risk of malware execution.",Enable real-time protection and antivirus features in Windows Defender.,4.643,TRUE,
R028,AUTH_005,AUTH,Multiple failed login attempts,abnormal,abnormal,TRUE,TP,,high,medium,FALSE,0.0,high number of failed logins; failed login activity,repeated_failed_logins,"The device has experienced a high number of failed login attempts, which may indicate a brute force attack or unauthorized access attempt.",Investigate the source of failed login attempts and strengthen authentication mechanisms.,5.028,TRUE,
R029,USB_007,USB,USB contains executable or script file visible,normal,abnormal,FALSE,FN,,low,medium,FALSE,0.0,defender_enabled; no_risky_processes; usb_content_type_script_or_executable_visible,usb_connected;usb_script_or_executable_present;no_file_execution,"The device has antivirus and firewall enabled, no risky processes detected, and USB content type is script or executable visible.",Ensure USB devices are scanned before use and keep security software updated.,4.931,TRUE,
R030,USB_012,USB,USB activity while Defender protection is disabled,abnormal,abnormal,TRUE,TP,,high,critical,FALSE,0.5,defender_disabled; usb_connection_count_1,usb_connected;defender_disabled,"Antivirus and real-time protection are disabled, and a USB device is connected, increasing the risk of malware infection.",Enable Windows Defender and scan the USB device for malware.,4.805,TRUE,
R031,AUTH_017,AUTH,Normal session after successful login with no authentication errors,normal,normal,TRUE,TN,,low,low,TRUE,0.0,defender_enabled; no_risky_processes; no_usb_activity,successful_login;normal_app_activity,"The device has active antivirus and firewall protections, no suspicious processes or USB activity detected, and all network activity is on a private profile.",Continue monitoring for unusual activity.,4.844,TRUE,
R032,PERSIST_015,PERSIST,Task Scheduler opened and existing tasks viewed only,normal,normal,TRUE,TN,,low,low,TRUE,0.0,defender_enabled; no_risky_processes; private_network,task_scheduler_viewed;no_persistence_change,"The device has active antivirus and firewall protections, is on a private network, and no suspicious processes were detected.",No action required; continue monitoring standard activity.,4.704,TRUE,
R033,USB_004,USB,Single USB use during normal work,normal,normal,TRUE,TN,,low,low,TRUE,0.0,defender_enabled; no_risky_processes; no_usb_activity,authorised_usb;normal_app_activity,"The device has antivirus and firewall enabled, no suspicious processes, and no USB activity detected.",Ensure all software is up to date and continue monitoring for unusual activity.,4.694,TRUE,
R034,NET_014,NET,Public network profile combined with failed logins and scanner activity,abnormal,abnormal,TRUE,TP,,medium,critical,FALSE,0.333,failed_login_activity; risky_processes,public_network;failed_login;network_scanner_activity,"The device has experienced a failed login attempt and a risky process (nmap.exe) was detected, which could indicate potential unauthorized access or network scanning.",Investigate the failed login and check the presence of nmap.exe. Ensure strong passwords and monitor network activity.,5.064,TRUE,
R035,PERSIST_001,PERSIST,Task Scheduler opened with no changes,normal,normal,TRUE,TN,,low,low,TRUE,0.0,defender_enabled; no_risky_processes; private_network,task_scheduler_viewed;no_persistence_change,"The device has active antivirus and firewall protections, is on a private network, and no suspicious processes were detected.",Ensure all software is up to date and continue monitoring for unusual activity.,4.689,TRUE,
R036,USB_005,USB,Unknown USB inserted with no file opened,abnormal,abnormal,TRUE,TP,,medium,medium,TRUE,0.0,usb_connection; defender_realtime_protection_disabled,unknown_usb;no_file_execution,"A USB device was connected and real-time protection is disabled, which could allow malware to execute without detection.",Enable real-time protection and scan the USB drive for malware.,4.775,TRUE,
R037,USB_015,USB,Authorised USB inserted and removed without opening files,normal,normal,TRUE,TN,,low,low,TRUE,0.0,defender_enabled; no_risky_processes; usb_connection_count_1,authorised_usb;cleanup_activity,"The device has active antivirus and firewall protections, no suspicious processes, and a single USB connection which is not accessing any malicious content.",Ensure all software is up-to-date and monitor for any unusual activity.,5.03,TRUE,
R038,NORMAL_015,NORMAL,Normal browsing of trusted websites with no downloads or security changes,normal,normal,TRUE,TN,,low,low,TRUE,0.0,defender_enabled; no_risky_processes; private_network,browser_activity,"The device has active antivirus and firewall protections, is on a private network, and no suspicious processes were detected.",No action required; continue monitoring standard activity.,4.892,TRUE,
R039,NORMAL_002,NORMAL,Normal browser activity,normal,normal,TRUE,TN,,low,low,TRUE,0.0,defender_enabled; no_risky_processes; private_network,browser_activity,"The device has active antivirus and firewall protections, is on a private network, and no suspicious processes were detected.",Ensure all software is up to date and continue monitoring for unusual activity.,4.906,TRUE,
R040,NET_006,NET,Public network activity with controlled browser download,normal,abnormal,FALSE,FN,,low,medium,FALSE,0.0,no suspicious processes; no malware detected,public_network;file_download,"The device has no active malware or suspicious processes, and the downloaded file is a small ZIP archive which is not inherently malicious.",Ensure the downloaded file is from a trusted source.,4.796,TRUE,
R041,NET_008,NET,Public network activity combined with failed login activity,abnormal,abnormal,TRUE,TP,,medium,high,FALSE,0.5,failed_login_activity; failed_login_count_band,public_network;failed_login,"Multiple failed login attempts detected, which may indicate a brute force attack.",Investigate the source of failed login attempts and strengthen authentication mechanisms.,4.62,TRUE,
R042,NET_007,NET,Public network activity while PowerShell is open,abnormal,abnormal,TRUE,TP,,medium,high,FALSE,0.0,failed_login_activity; suspicious_process_context,public_network;powershell_activity,"The device has experienced a failed login attempt and some processes are flagged as suspicious, which could indicate potential unauthorized access or malicious activity.",Investigate the failed login and suspicious processes for any signs of compromise.,5.163,TRUE,
R043,NORMAL_018,NORMAL,"Normal switching between browser, Word, and File Explorer",normal,normal,TRUE,TN,,low,low,TRUE,0.0,defender_enabled; no_unusual_network_activity; no_file_downloads,browser_activity;document_activity;file_browsing;normal_app_activity,"The device has active antivirus and firewall protections, no suspicious processes or file downloads, and is on a private network.",Ensure all software is up to date and continue monitoring for unusual activity.,4.957,TRUE,
R044,NORMAL_017,NORMAL,Normal Notepad text editing with no command-line or security activity,normal,normal,TRUE,TN,,low,low,TRUE,0.0,defender_enabled; no_risky_processes; private_network,document_activity,"The device has active antivirus and firewall protections, is on a private network, and no suspicious processes were detected.",Continue monitoring standard security practices.,4.819,TRUE,
R045,NET_002,NET,Public network normal browsing session,normal,normal,TRUE,TN,,low,low,TRUE,0.0,defender_enabled; no_risky_processes; private_network,public_network;browser_activity,"The device has active antivirus and firewall protections, is on a private network, and no suspicious processes were detected.",No action required; continue monitoring standard activity.,4.877,TRUE,
R046,NET_005,NET,Public network profile detected,normal,normal,TRUE,TN,,low,low,TRUE,0.0,no antivirus or real-time protection enabled; no suspicious processes or network activity,public_network;no_additional_risky_activity,"The device has no active antivirus or real-time protection, and no suspicious processes or network activity were detected.",Ensure antivirus and real-time protection are enabled for better security.,4.853,TRUE,
R047,NET_009,NET,Network scanner opened or version checked,normal,abnormal,FALSE,FN,,low,medium,FALSE,0.0,defender_enabled; no_unusual_network_activity; no_file_downloads,network_scanner_activity,"The device has active antivirus and firewall protections, no suspicious processes or network activity, and no file downloads detected.",Ensure all software is up to date and continue monitoring for unusual activity.,5.077,TRUE,
R048,AUTH_002,AUTH,Two failed login attempts followed by normal use,abnormal,normal,FALSE,FP,,medium,low,FALSE,0.0,multiple failed logins; private network profile,repeated_failed_logins;successful_login,Multiple failed login attempts on a private network may indicate a brute force attack attempt.,Investigate the failed login attempts and ensure account credentials are secure.,4.559,TRUE,
R049,PROC_004,PROC,VS Code terminal used for normal development activity,normal,normal,TRUE,TN,,low,low,TRUE,0.0,defender_enabled; no_risky_processes; private_network,development_activity,"The device has active antivirus and firewall protections, is on a private network, and no suspicious processes were detected.",Ensure all software is up to date and continue monitoring for unusual activity.,4.831,TRUE,
R050,AUTH_003,AUTH,Failed login activity on private network,abnormal,normal,FALSE,FP,,high,low,FALSE,0.0,multiple failed logins; failed login activity,failed_login;private_network,"The device has experienced multiple failed login attempts, which could indicate a brute force attack or unauthorized access attempts.",Investigate the source of failed login attempts and strengthen authentication mechanisms.,4.733,TRUE,
R051,SEC_010,SEC,Defender disabled while PowerShell is open,abnormal,abnormal,TRUE,TP,,medium,high,FALSE,0.5,defender_disabled; risky_processes,defender_disabled;powershell_activity,"Antivirus and real-time protection are disabled, and risky processes like powershell.exe are running.",Enable real-time protection and monitor PowerShell activity for suspicious commands.,4.802,TRUE,
R052,NORMAL_004,NORMAL,Normal Teams activity,normal,normal,TRUE,TN,,low,low,TRUE,0.0,no risky processes; defender not disabled,communication_app_activity;normal_app_activity,The device shows no signs of malicious activity with no risky processes and defender not disabled.,Ensure all security software is up to date and maintain regular system checks.,4.66,TRUE,
R053,PERSIST_011,PERSIST,Scheduled task created while PowerShell is open,abnormal,abnormal,TRUE,TP,,medium,high,FALSE,0.0,scheduled_task_change; risky_processes,scheduled_task_created;powershell_activity,"A scheduled task was changed and PowerShell is listed as a risky process, which could indicate potential for malicious activity.",Review the scheduled task details and ensure PowerShell usage is legitimate and monitored.,4.822,TRUE,
R054,SEC_006,SEC,Defender setting changed temporarily and restored,normal,abnormal,FALSE,FN,,low,medium,FALSE,0.0,defender_config_changed; no_risky_processes,defender_configuration_changed;security_setting_restored,The device has no risky processes and defender settings were temporarily changed but restored.,Monitor for any further configuration changes.,4.536,TRUE,
R055,USB_011,USB,USB activity while PowerShell is open,abnormal,abnormal,TRUE,TP,,medium,high,FALSE,0.0,risky_processes; usb_connection_count,usb_connected;powershell_activity,The presence of risky processes like powershell.exe and a USB connection may indicate potential security threats.,Investigate the USB device and monitor the risky processes for suspicious activity.,4.761,TRUE,
R056,PROC_002,PROC,CMD opened for normal command use,normal,normal,TRUE,TN,,low,low,TRUE,0.0,defender_enabled; private_network; no_usb_activity,cmd_activity;basic_command_use,"The device has active antivirus and firewall protections, is connected to a private network, and there's no USB activity detected.",Ensure all software is up to date and continue monitoring for unusual activity.,4.999,TRUE,
R057,NORMAL_010,NORMAL,Normal cloud folder or local folder browsing,normal,normal,TRUE,TN,,low,low,TRUE,0.0,defender_enabled; no_risky_processes; private_network,file_browsing,"The device has active antivirus and firewall protections, is on a private network, and no suspicious processes were detected.",Ensure all software is up to date and continue monitoring for unusual activity.,4.94,TRUE,
R058,PERSIST_007,PERSIST,Harmless scheduled task deleted after test,normal,abnormal,FALSE,FN,,low,medium,FALSE,0.0,defender_enabled; no_usb_activity; private_network,scheduled_task_deleted,"The device has active antivirus and firewall protections, no USB devices connected, and is on a private network, indicating a secure environment.",Ensure all software updates are current and continue monitoring for unusual activity.,4.89,TRUE,
R059,NORMAL_003,NORMAL,Normal VS Code activity,normal,normal,TRUE,TN,,low,low,TRUE,0.0,defender_enabled; no_risky_processes; private_network,development_activity,"The device has active antivirus and firewall protections, is on a private network, and no suspicious processes were detected.",Ensure all software is up to date and continue monitoring for unusual activity.,4.756,TRUE,
R060,NET_012,NET,Network scanner activity while on public network profile,abnormal,abnormal,TRUE,TP,,high,high,TRUE,0.0,risky_processes; defender_disabled,public_network;network_scanner_activity,"The device has risky processes like nmap.exe running and antivirus/defender is disabled, which could indicate potential security threats.",Enable Windows Defender and investigate the nmap.exe process for unauthorized activity.,4.723,TRUE,
R061,AUTH_001,AUTH,One failed login attempt followed by normal use,abnormal,normal,FALSE,FP,,medium,low,FALSE,0.5,failed_login_activity; failed_login_count_band_single,failed_login;successful_login,"A failed login attempt was detected, which could indicate a brute force attack or unauthorized access attempt.",Investigate the failed login source and consider changing passwords or enabling multi-factor authentication.,4.79,TRUE,
R062,NORMAL_009,NORMAL,Normal settings viewing without making changes,normal,normal,TRUE,TN,,low,low,TRUE,0.0,defender_enabled; no_risky_processes; private_network,settings_viewed,"The device has active antivirus and firewall protections, no suspicious processes, and is connected to a private network.",No action required; security measures are properly configured.,4.699,TRUE,
R063,PERSIST_008,PERSIST,Harmless startup shortcut added for test,normal,abnormal,FALSE,FN,,low,medium,FALSE,0.0,startup_item_change; verified_activity_context,startup_item_added,"A new startup item was added, but it's a benign Notepad shortcut and no other risky activities were detected.",Verify the startup item's source and consider removing it if it's not needed.,4.848,TRUE,
R064,PROC_008,PROC,PowerShell unusual or encoded-looking command used in controlled test,abnormal,abnormal,TRUE,TP,,medium,high,FALSE,0.0,unusual_powershell_command; suspicious_process_context,suspicious_command_pattern,"The system detected an unusual PowerShell command and suspicious process context, which could indicate potential malicious activity.",Investigate the PowerShell command for malicious content and ensure all processes are legitimate.,4.993,TRUE,
R065,NET_013,NET,Public network profile combined with Defender disabled,abnormal,abnormal,TRUE,TP,,high,critical,FALSE,0.5,defender_disabled; no_realtime_protection,public_network;defender_disabled,"The device has Windows Defender disabled, which leaves it vulnerable to malware. No real-time protection is active.",Enable Windows Defender and real-time protection immediately.,4.656,TRUE,
R066,AUTH_007,AUTH,High number of failed login attempts,abnormal,abnormal,TRUE,TP,,medium,high,FALSE,0.0,multiple failed logins; failed login activity,high_failed_login_count,"The device has experienced multiple failed login attempts, which could indicate a brute force attack or unauthorized access attempts.",Investigate the source of failed login attempts and strengthen authentication mechanisms.,4.769,TRUE,
R067,AUTH_009,AUTH,Failed login activity while PowerShell is open,abnormal,abnormal,TRUE,TP,,medium,high,FALSE,0.0,multiple failed logins; suspicious processes,failed_login;powershell_activity,The device has experienced multiple failed login attempts and is running processes that could be used for malicious activities.,Investigate the failed login attempts and monitor the suspicious processes for any signs of compromise.,4.988,TRUE,
R068,NORMAL_001,NORMAL,Normal Word document activity,normal,normal,TRUE,TN,,low,low,TRUE,0.0,defender_enabled; no_risky_processes; private_network,document_activity,"The device has active antivirus and firewall protections, is on a private network, and no suspicious processes were detected.",Continue monitoring for unusual activity.,4.691,TRUE,
R069,PROC_012,PROC,Script run after controlled file download,abnormal,abnormal,TRUE,TP,,medium,critical,FALSE,0.5,file_downloaded; risky_processes,file_download;script_execution,"A file was downloaded and PowerShell was executed, which could indicate potential security risks.","Verify the downloaded file's source and integrity, and ensure antivirus and firewall protections are enabled.",4.616,TRUE,
R070,PERSIST_010,PERSIST,Test service start type viewed or changed in controlled test,abnormal,abnormal,TRUE,TP,,medium,high,FALSE,0.0,service_change; defender_events,service_configuration_changed,A service configuration change was detected along with a defender status snapshot indicating potential tampering or misconfiguration.,Review the service change details and ensure defender settings are correctly configured.,4.748,TRUE,
R071,AUTH_004,AUTH,Minor authentication mistake during normal session,abnormal,normal,FALSE,FP,,medium,low,FALSE,0.333,failed_login_activity; defender_events,failed_login;successful_login;normal_app_activity,The device has experienced a failed login attempt and there are defender events indicating configuration changes and real-time protection was enabled.,Investigate the failed login and review defender configuration changes for potential security issues.,4.922,TRUE,
R072,SEC_004,SEC,Security history viewed with no changes,normal,normal,TRUE,TN,,low,low,TRUE,0.0,defender_enabled; no_risky_processes; private_network,security_history_viewed;settings_viewed,"The device has active antivirus and firewall protections, is connected to a private network, and no suspicious processes were detected.",Ensure all software is up to date and continue monitoring for unusual activity.,4.875,TRUE,
R073,AUTH_011,AUTH,Failed login activity while connected to public network,abnormal,abnormal,TRUE,TP,,medium,high,FALSE,0.5,failed_login_activity; failed_login_count_band,failed_login;public_network,"Multiple failed login attempts detected, which may indicate a brute force attack.",Investigate the source of failed login attempts and strengthen authentication mechanisms.,4.537,TRUE,
R074,NORMAL_005,NORMAL,Normal file browsing in Documents,normal,normal,TRUE,TN,,low,low,TRUE,0.0,defender_enabled; no_risky_processes; private_network,file_browsing,"The device has active antivirus and firewall protections, is on a private network, and no suspicious processes were detected.",Ensure all software is up to date and continue monitoring for unusual activity.,4.971,TRUE,
R075,NET_017,NET,Normal browsing on private network with no downloads or scanning,normal,normal,TRUE,TN,,low,low,TRUE,0.5,defender_enabled; no_risky_processes; private_network,private_network;browser_activity,"The device has active antivirus and firewall protections, is on a private network, and no suspicious processes were detected.",Ensure all software is up to date and continue monitoring for unusual activity.,4.859,TRUE,
R076,PERSIST_002,PERSIST,Existing scheduled tasks viewed only,normal,normal,TRUE,TN,,low,low,TRUE,0.0,defender_enabled; no_risky_processes; private_network,task_scheduler_viewed;no_persistence_change,"The device has active antivirus and firewall protections, is on a private network, and no suspicious processes were detected.",Ensure all software is up to date and continue monitoring for unusual activity.,4.786,TRUE,
R077,AUTH_012,AUTH,High failed login count in a short time window,abnormal,abnormal,TRUE,TP,,high,high,TRUE,0.0,failed_login_activity; high_count_not_captured,high_failed_login_count;rapid_activity_window,"The device has experienced a high number of failed login attempts, which may indicate a brute force attack or unauthorized access attempts.",Investigate the source of failed login attempts and strengthen authentication mechanisms.,4.798,TRUE,
R078,NET_010,NET,Network scan run against local authorised test target,abnormal,abnormal,TRUE,TP,,medium,high,FALSE,0.0,suspicious_process_context; verified_commands,network_scan;authorised_local_target,"The system ran nmap to scan a local network interface, which could indicate reconnaissance activity.",Review the nmap scan results and check for unauthorized network access attempts.,4.81,TRUE,
R079,USB_017,USB,Authorised USB used to copy a harmless document file,normal,normal,TRUE,TN,,low,low,TRUE,0.0,defender_enabled; no_risky_processes; private_network,authorised_usb;usb_file_copied,"The device has active antivirus and firewall protections, is on a private network, and no suspicious processes were detected.",Ensure all software is up to date and continue monitoring for unusual activity.,4.787,TRUE,
R080,PERSIST_013,PERSIST,Startup item added while Defender is disabled,abnormal,abnormal,TRUE,TP,,high,high,TRUE,0.5,defender_disabled; startup_item_change,defender_disabled;startup_item_added,"Antivirus and real-time protection are disabled, and a new startup item was added which could indicate malicious activity.",Enable Windows Defender and review the added startup item for legitimacy.,4.63,TRUE,
R081,AUTH_014,AUTH,Failed login activity combined with suspicious process activity,abnormal,abnormal,TRUE,TP,,medium,critical,FALSE,0.5,failed_login_activity; risky_processes,failed_login;suspicious_command_pattern,The device has experienced a failed login attempt and is running processes that could be used for malicious activities.,Investigate the failed login and monitor the risky processes for suspicious behavior.,4.929,TRUE,
R082,PERSIST_009,PERSIST,Harmless startup shortcut removed after test,normal,normal,TRUE,TN,,low,low,TRUE,0.0,defender_enabled; firewall_active; no_risky_processes,startup_item_removed;cleanup_activity,"The device has active antivirus and firewall protections, no risky processes detected, and no suspicious network activity.",No action required; security measures are properly configured.,4.713,TRUE,
R083,USB_013,USB,USB activity with compressed archive accessed,abnormal,abnormal,TRUE,TP,,medium,high,FALSE,0.0,usb_connection; archive_accessed; usb_files_browsed,usb_connected;usb_archive_accessed,"The device has a USB connection with a compressed archive, and files were browsed on the USB drive, which could indicate data exfiltration or malware transfer.",Verify the USB device's origin and scan it with up-to-date antivirus software before accessing any files.,5.209,TRUE,
R084,USB_008,USB,USB executable or script accessed in controlled test,normal,abnormal,FALSE,FN,,low,high,FALSE,0.0,defender_enabled; no_unusual_network_activity; no_file_downloads,usb_connected;usb_script_or_executable_accessed,"The device has active antivirus and firewall protections, no suspicious processes or network activity, and no file downloads detected.",Ensure all software is up to date and continue monitoring for unusual activity.,5.223,TRUE,
R085,PROC_009,PROC,Nmap opened or version checked,normal,abnormal,FALSE,FN,,low,medium,FALSE,0.0,defender_enabled; private_network; known_processes,network_scanner_activity,"The device has active antivirus and firewall protections, is connected to a private network, and is running known processes. The nmap command was executed in a controlled context.",No action required. Ensure regular security updates are applied.,5.114,TRUE,
